,Unnamed: 0,No,Soal,Jawaban,Jawaban_Salah,SPK,SAL,TOF,Final_Feedback_Type,Generated_Feedback,dict_generated_feedback
26,26,27,"Jika x = –1, maka nilai dari x^3 – 2x^2 + x adalah....",-2,-4,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Bagus! Jawabanmu untuk x = -1 pada bentuk aljabar $x^3 - 2x^2 + x$ sudah benar. Perhatikan ada solusi pada soal yang tertera (-2) yang tidak akurat; jangan terlalu mengikutinya tanpa memeriksa langkah-langkahnya. Saat mengevaluasi bentuk aljabar seperti ini, fokus pada langkah-langkah berikut: \n- Ganti variabel dengan nilai yang diberikan: $x = -1$. \n- Evaluasi setiap suku satu per satu: $x^3$, $-2x^2$, dan $x$. \n- Lakukan urutan operasi: pangkat dulu, kemudian perkalian, lalu penjumlahan (atau pengurangan). \n- Akhiri dengan jumlah ketiga hasil suku tersebut: setiap suku dievaluasi lalu dijumlahkan. \nKamu bisa menuliskan langkah-langkah ini secara singkat untuk memeriksa jawabanmu. Jika ingin, kita bisa latihan lagi dengan nilai x yang berbeda untuk membangun ketepatannya, misalnya evaluasi bentuk yang sama untuk $x = 2$ dan $x = 0$.""
}","{'Feedback Type': 'Topic Contingent', 'Feedback': 'Bagus! Jawabanmu untuk x = -1 pada bentuk aljabar $x^3 - 2x^2 + x$ sudah benar. Perhatikan ada solusi pada soal yang tertera (-2) yang tidak akurat; jangan terlalu mengikutinya tanpa memeriksa langkah-langkahnya. Saat mengevaluasi bentuk aljabar seperti ini, fokus pada langkah-langkah berikut: \n- Ganti variabel dengan nilai yang diberikan: $x = -1$. \n- Evaluasi setiap suku satu per satu: $x^3$, $-2x^2$, dan $x$. \n- Lakukan urutan operasi: pangkat dulu, kemudian perkalian, lalu penjumlahan (atau pengurangan). \n- Akhiri dengan jumlah ketiga hasil suku tersebut: setiap suku dievaluasi lalu dijumlahkan. \nKamu bisa menuliskan langkah-langkah ini secara singkat untuk memeriksa jawabanmu. Jika ingin, kita bisa latihan lagi dengan nilai x yang berbeda untuk membangun ketepatannya, misalnya evaluasi bentuk yang sama untuk $x = 2$ dan $x = 0$.'}"
27,27,28,Sederhanakan: –3(x – 2) + 2(x + 1),–x + 4,-x + 8,Low,Low,Immediate,Response Contingent,"{
  ""Feedback Type"": ""Response Contingent"",
  ""Feedback"": ""Wah, jawabanmu -x + 8 sudah tepat untuk penyederhanaan ekspresi berikut. Ayo kita cek langkahnya agar kamu bisa melihat mengapa benar.\n\n- Distribusikan tanda di kurung: $-3(x-2) = -3x + 6$ dan $2(x+1) = 2x + 2$.\n- Gabungkan suku-suku sejenis: $(-3x + 6) + (2x + 2) = (-3x + 2x) + (6 + 2) = -x + 8$.\n\nInti dari penyederhanaan itu adalah pastikan tanda pada koefisien x dan konstanta benar saat melakukan distributif, lalu jumlahkan koefisien yang sejenis.\n\nKalau ada sumber solusi yang menuliskan -x + 4, mungkin itu salah cetak atau salah baca. Sekarang langkah-langkahmu konsisten dengan perhitungan distributif.\n\nTips latihan: coba sederhanakan soal mirip berikut dengan langkah yang sama, lalu kirim jawaban langkahmu ya supaya bisa kita cek bersama:\n- $-4(x-3) + 3(x+2)$\n- $-5(x-1) + 4(x+5)$\n\nTerus latihan ya! Kamu bisa!""
}","{'Feedback Type': 'Response Contingent', 'Feedback': 'Wah, jawabanmu -x + 8 sudah tepat untuk penyederhanaan ekspresi berikut. Ayo kita cek langkahnya agar kamu bisa melihat mengapa benar.\n\n- Distribusikan tanda di kurung: $-3(x-2) = -3x + 6$ dan $2(x+1) = 2x + 2$.\n- Gabungkan suku-suku sejenis: $(-3x + 6) + (2x + 2) = (-3x + 2x) + (6 + 2) = -x + 8$.\n\nInti dari penyederhanaan itu adalah pastikan tanda pada koefisien x dan konstanta benar saat melakukan distributif, lalu jumlahkan koefisien yang sejenis.\n\nKalau ada sumber solusi yang menuliskan -x + 4, mungkin itu salah cetak atau salah baca. Sekarang langkah-langkahmu konsisten dengan perhitungan distributif.\n\nTips latihan: coba sederhanakan soal mirip berikut dengan langkah yang sama, lalu kirim jawaban langkahmu ya supaya bisa kita cek bersama:\n- $-4(x-3) + 3(x+2)$\n- $-5(x-1) + 4(x+5)$\n\nTerus latihan ya! Kamu bisa!'}"
28,28,29,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....",1,5,High,High,Immediate,Try again + Delayed Topic Content,"{
  ""Feedback Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Wah, nilai jawabanmu menunjukkan ada perbedaan dengan hasil yang benar. Kamu tampak sudah menguasai konsep, jadi ayo kita cek bagian yang sering bikin salah: tanda pada suku-suku di bentuk aljabar.\n\nLangkah yang bisa kamu lakukan sekarang:\n- Gantilah variabel: a = 2 dan b = -1 pada bentuk aljabar berikut: $a^2 + ab - b^2$.\n- Hitung tiap bagian satu per satu, namun perhatikan tanda:\n  - bagian pertama adalah $a^2$\n  - bagian kedua adalah $ab$\n  - bagian ketiga adalah $-b^2$ (ingat ada tanda minus di depan $b^2$).\n- Gabungkan ketiga bagian tersebut dengan urutan yang benar.\n\nTips tambahan:\n- Karena kamu melihat soal evaluasi bentuk aljabar, ingat bahwa tanda negatif di depan suatu suku mengubah arah penjumlahan bagian itu.\n- Latihan terkait yang bisa kamu manfaatkan untuk memperkuat konsep evaluasi bentuk aljabar adalah Latihan 4.1 bagian 2, di mana kamu mengganti variabel dan menentukan nilai bentuk aljabar untuk nilai tertentu (contohnya ketika m = 3).\n\nCoba kerjakan langkah-langkah di atas dan kirim langkah-langkahmu kembali. Jika perlu, saya bisa cek langkah-langkahnya bersama kamu. \n\nEkspresi yang kamu lihat: $a^2 + ab - b^2$ dengan $a=2$, $b=-1$.""
}","{'Feedback Type': 'Try again + Delayed Topic Content', 'Feedback': 'Wah, nilai jawabanmu menunjukkan ada perbedaan dengan hasil yang benar. Kamu tampak sudah menguasai konsep, jadi ayo kita cek bagian yang sering bikin salah: tanda pada suku-suku di bentuk aljabar.\n\nLangkah yang bisa kamu lakukan sekarang:\n- Gantilah variabel: a = 2 dan b = -1 pada bentuk aljabar berikut: $a^2 + ab - b^2$.\n- Hitung tiap bagian satu per satu, namun perhatikan tanda:\n  - bagian pertama adalah $a^2$\n  - bagian kedua adalah $ab$\n  - bagian ketiga adalah $-b^2$ (ingat ada tanda minus di depan $b^2$).\n- Gabungkan ketiga bagian tersebut dengan urutan yang benar.\n\nTips tambahan:\n- Karena kamu melihat soal evaluasi bentuk aljabar, ingat bahwa tanda negatif di depan suatu suku mengubah arah penjumlahan bagian itu.\n- Latihan terkait yang bisa kamu manfaatkan untuk memperkuat konsep evaluasi bentuk aljabar adalah Latihan 4.1 bagian 2, di mana kamu mengganti variabel dan menentukan nilai bentuk aljabar untuk nilai tertentu (contohnya ketika m = 3).\n\nCoba kerjakan langkah-langkah di atas dan kirim langkah-langkahmu kembali. Jika perlu, saya bisa cek langkah-langkahnya bersama kamu. \n\nEkspresi yang kamu lihat: $a^2 + ab - b^2$ dengan $a=2$, $b=-1$.'}"
29,29,30,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,-5,-14,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Hebat kamu punya dasar yang kuat untuk aljabar. Jawabanmu sekarang (-14) belum tepat untuk ekspresi di soal. Yuk kita ulang langkahnya dengan fokus pada substitusi dulu, baru perkalian.\n\nLangkah yang perlu dicek:\n- Tetapkan fungsi f(x) = (2x + 1)(x − 4).\n- Substitusikan x = 3: f(3) = (2·3 + 1)(3 − 4).\n- Lakukan evaluasi secara bertahap: perhatikan bahwa (3 − 4) bernilai negatif, sehingga hasil akhirnya akan dipengaruhi tanda tersebut.\n\nTips praktis:\n- Ganti x dengan angka 3 di setiap bagian ekspresi terlebih dahulu, lalu kalikan hasil kedua bagian tersebut.\n- Periksa tanda minus pada bagian (x − 4) karena x tidak sama dengan 4.\n\nCoba kerjakan lagi dan kirim jawabanmu. Kamu bisa mencoba lagi beberapa kali; saya akan bantu mengecek langkah-langkahmu dan pastikan arah jawaban akhirnya jelas.""
}","{'Feedback Type': 'Topic Contingent', 'Feedback': 'Hebat kamu punya dasar yang kuat untuk aljabar. Jawabanmu sekarang (-14) belum tepat untuk ekspresi di soal. Yuk kita ulang langkahnya dengan fokus pada substitusi dulu, baru perkalian.\n\nLangkah yang perlu dicek:\n- Tetapkan fungsi f(x) = (2x + 1)(x − 4).\n- Substitusikan x = 3: f(3) = (2·3 + 1)(3 − 4).\n- Lakukan evaluasi secara bertahap: perhatikan bahwa (3 − 4) bernilai negatif, sehingga hasil akhirnya akan dipengaruhi tanda tersebut.\n\nTips praktis:\n- Ganti x dengan angka 3 di setiap bagian ekspresi terlebih dahulu, lalu kalikan hasil kedua bagian tersebut.\n- Periksa tanda minus pada bagian (x − 4) karena x tidak sama dengan 4.\n\nCoba kerjakan lagi dan kirim jawabanmu. Kamu bisa mencoba lagi beberapa kali; saya akan bantu mengecek langkah-langkahmu dan pastikan arah jawaban akhirnya jelas.'}"
30,30,31,Sederhanakan: (5x + 2) – (2x – 3),3x + 5,3x - 1,High,High,Delayed,Try again + Delayed Topic Contingent,"{
  ""Feedback Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Kamu menjawab 3x - 1, padahal jawaban yang benar tidak seperti itu. Kesalahanmu terjadi pada tanda minus di depan kurung kedua. Perhatikan aturan tanda negatif: ketika ada bentuk seperti (A) - (B), tanda negatif di depan (B) mengubah tanda semua suku di dalamnya. Contohnya, $-(2x - 3) = -2x + 3$.\n\nCoba kerjakan lagi dengan langkah-langkah berikut:\n1) Ubah kurung kedua dengan tanda yang benar: $(5x + 2) - (2x - 3)$ menjadi $(5x + 2) + (-2x + 3)$.\n2) Gabungkan suku-suku sejenis: bagian variabel ($5x$ dan $-2x$) serta bagian konstanta ($2$ dan $3$).\n\nLatihan seperti ini juga relevan dengan Latihan 4.1 yang membahas suku-suku, koefisien, variabel, dan konstanta. Coba kerjakan lagi ya; kalau kamu ingin, aku bisa kasih latihan serupa untuk kamu praktikkan langkah-langkahnya.""
}","{'Feedback Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Kamu menjawab 3x - 1, padahal jawaban yang benar tidak seperti itu. Kesalahanmu terjadi pada tanda minus di depan kurung kedua. Perhatikan aturan tanda negatif: ketika ada bentuk seperti (A) - (B), tanda negatif di depan (B) mengubah tanda semua suku di dalamnya. Contohnya, $-(2x - 3) = -2x + 3$.\n\nCoba kerjakan lagi dengan langkah-langkah berikut:\n1) Ubah kurung kedua dengan tanda yang benar: $(5x + 2) - (2x - 3)$ menjadi $(5x + 2) + (-2x + 3)$.\n2) Gabungkan suku-suku sejenis: bagian variabel ($5x$ dan $-2x$) serta bagian konstanta ($2$ dan $3$).\n\nLatihan seperti ini juga relevan dengan Latihan 4.1 yang membahas suku-suku, koefisien, variabel, dan konstanta. Coba kerjakan lagi ya; kalau kamu ingin, aku bisa kasih latihan serupa untuk kamu praktikkan langkah-langkahnya.'}"
31,31,32,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...",5,13,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya tanda antara kuadrat bilangan belum tepat. Pada soal ini, kita pakai bentuk $x^2 - y^2$, artinya kuadrat x dikurangi kuadrat y. Coba cek lagi apakah kamu menjumlahkan kuadratnya menjadi $x^2 + y^2$ — itu berbeda. Untuk menguatkan konsep, ingat rumus penting $a^2 - b^2 = (a - b)(a + b)$, atau kamu juga bisa fokus pada langkah langsung: hitung $x^2$ dan $y^2$, lalu kurangi keduanya. Coba lagi ya, kamu bisa! Jika mau, jelaskan langkah-langkah yang kamu pakai agar kita cek bareng.""
}","{'Feedback Type': 'Topic Contingent', 'Feedback': 'Hai! Sepertinya tanda antara kuadrat bilangan belum tepat. Pada soal ini, kita pakai bentuk $x^2 - y^2$, artinya kuadrat x dikurangi kuadrat y. Coba cek lagi apakah kamu menjumlahkan kuadratnya menjadi $x^2 + y^2$ — itu berbeda. Untuk menguatkan konsep, ingat rumus penting $a^2 - b^2 = (a - b)(a + b)$, atau kamu juga bisa fokus pada langkah langsung: hitung $x^2$ dan $y^2$, lalu kurangi keduanya. Coba lagi ya, kamu bisa! Jika mau, jelaskan langkah-langkah yang kamu pakai agar kita cek bareng.'}"
32,32,33,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,–x + 5y,-x - y,High,High,Immediate,Try again + Delayed Topic Content,,
33,33,34,Hasil dari 3a(2a – 1) adalah....,6a^2 – 3a,6a^2 – 1,Low,High,Immediate,Response Contingent,"{
  ""Feedback Type"": ""Response Contingent"",
  ""Feedback"": ""Kamu sudah mulai mencoba soal deret aritmetika, mantap. Kemungkinan jawabanmu belum menggunakan rumus jumlah deret dengan tepat atau belum menuliskan bagaimana S5 dihitung. Yuk kita lihat langkah yang tepat tanpa memberikan jawaban langsung.\n\nLangkah-langkah yang bisa kamu ikuti:\n- Gunakan rumus jumlah deret aritmetika: $S_n = \\frac{n}{2}\\,[2a_1 + (n-1)d]$.\n- Untuk n = 5, tulis $S_5 = \\frac{5}{2}\\,[2a_1 + (5-1)d]$.\n- Karena $S_5 = 70$, kita punya $70 = \\frac{5}{2}\\,[2a_1 + 4d]$.\n- Kalikan kedua sisi dengan \\frac{2}{5}: $14 = 2a_1 + 4d$.\n- Sederhanakan menjadi $a_1 + 2d = 14$.\n- Dengan hanya satu persamaan untuk dua variabel (a_1 dan d), kita tidak bisa menentukan nilai keduanya secara unik. Kamu perlu informasi tambahan seperti nilai suku pertama $a_1$ atau selisih $d$.\n\nTips tambahan:\n- Jika jawabanmu hanya angka 70, itu adalah jumlah suku pertama, bukan nilai dari suku pertama maupun selisihnya.\n- Cobalah tambahkan informasi lain atau gunakan persamaan lain untuk melengkapi, lalu kirim jawabanmu lagi.\n\nCoba lagi ya dengan menuliskan langkah-langkah seperti di atas, dan jangan ragu untuk mengajukan bagian mana yang membingungkanmu."" 
}",
34,34,35,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....",-9,-12,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba menjawab soal evaluasi bentuk aljabar, tapi jawabannya -12 belum tepat untuk nilai x = 0 dan y = 3. Ayo kita perbaiki langkah-langkahnya.\n\nTopik yang dipelajari: evaluasi bentuk aljabar dengan substitusi.\n\nLangkah-langkah yang perlu diperiksa:\n- Tuliskan ekspresi yang akan dievaluasi: $4x - y^2$ dengan substitusi $x=0$, $y=3$.\n- Substitusi bagian pertama: $4x$ becomes $4 \\cdot 0 = 0$.\n- Substitusi bagian kedua: $y^2$ dengan $y=3$ adalah $(3)^2 = 9$.\n- Lakukan operasi: substitusi sehingga Anda memiliki $0 - 9$.\n\nCoba jawab lagi dengan mengikuti langkah-langkah di atas. Jika mau, kamu bisa kirim jawabanmu setelah mencoba lagi dan aku akan cek bersama kamu. Kesalahan umum yang sering terjadi adalah lupa membesarkan kuadrat pada y atau salah menaruh tanda antara pengurangan.""
}",
35,35,36,Hasil dari –(3x – 2) + (x + 5) adalah....,–2x + 7,-4x - 7,Low,High,Immediate,Response Contingent,"{
  ""Feedback Type"": ""Response Contingent"",
  ""Feedback"": ""Mantap sudah mencoba, tetapi jawabanmu -4x - 7 tidak sesuai dengan ekspresi yang diberikan. Coba lihat bagaimana tanda negatif diterapkan pada suku-suku di dalam kurung dan bagaimana kita menggabungkan suku-suku sejenis.\n\nLangkah yang bisa kamu coba:\n- Distribusikan tanda minus ke dalam kurung pertama: $-(3x - 2)$ seharusnya menjadi $-3x + 2$ (bukan $-3x - 2$).\n- Tambahkan bagian kedua: $+(x + 5)$.\n- Gabungkan suku-suku sejenis (koefisien x bersama-sama, konstanta bersama-sama).\n\nDengan mengikuti langkah-langkah ini, kamu menggunakan bentuk aljabar $-(3x - 2) + (x + 5)$ secara benar.\n\nTip latihan: saat menuliskan, kamu bisa membuat dua kolom kecil untuk memisahkan koefisien x dan konstanta, lalu jumlahkan masing-masing bagian.\n\nCoba kerjakan lagi ya. Kamu bisa mengirim jawaban yang sudah diperbaiki setelah memeriksa langkah-langkah di atas. Untuk mengecek, kamu juga bisa mencoba substitusi nilai sederhana seperti $x=1$ pada ekspresi asli untuk melihat apakah responsmu konsisten dengan ekspresi tersebut.\n\nSemangat, kamu bisa mencoba lagi sekarang!""
}","{'Feedback Type': 'Response Contingent', 'Feedback': 'Mantap sudah mencoba, tetapi jawabanmu -4x - 7 tidak sesuai dengan ekspresi yang diberikan. Coba lihat bagaimana tanda negatif diterapkan pada suku-suku di dalam kurung dan bagaimana kita menggabungkan suku-suku sejenis.\n\nLangkah yang bisa kamu coba:\n- Distribusikan tanda minus ke dalam kurung pertama: $-(3x - 2)$ seharusnya menjadi $-3x + 2$ (bukan $-3x - 2$).\n- Tambahkan bagian kedua: $+(x + 5)$.\n- Gabungkan suku-suku sejenis (koefisien x bersama-sama, konstanta bersama-sama).\n\nDengan mengikuti langkah-langkah ini, kamu menggunakan bentuk aljabar $-(3x - 2) + (x + 5)$ secara benar.\n\nTip latihan: saat menuliskan, kamu bisa membuat dua kolom kecil untuk memisahkan koefisien x dan konstanta, lalu jumlahkan masing-masing bagian.\n\nCoba kerjakan lagi ya. Kamu bisa mengirim jawaban yang sudah diperbaiki setelah memeriksa langkah-langkah di atas. Untuk mengecek, kamu juga bisa mencoba substitusi nilai sederhana seperti $x=1$ pada ekspresi asli untuk melihat apakah responsmu konsisten dengan ekspresi tersebut.\n\nSemangat, kamu bisa mencoba lagi sekarang!'}"
36,36,37,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",-4,-8,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Kerja bagus! Kamu menjawab -8 untuk ekspresi ab - 2a + b dengan a = 1 dan b = -3, dan jawabanmu itu benar. Sementara itu, solusi yang tertera -4 kemungkinan ada kekeliruan pada saat penjumlahan.\n\nLangkah-langkah yang bisa kamu lakukan untuk memeriksa:\n- Hitung ab: $ab = a \\cdot b = 1 \\cdot (-3) = -3$.\n- Hitung -2a: $-2a = -2 \\cdot 1 = -2$.\n- Tambahkan b: $b = -3$.\n- Gabungkan semuanya: $ab - 2a + b = (-3) + (-2) + (-3) = -8$.\n\nTip: selalu urutkan perhitungan sesuai urutan operasi (perkalian dulu, kemudian penjumlahan). Jika ragu, ganti nilai variabel dan cek apakah hasilnya konsisten.\n\nCoba latihan serupa untuk memperkuat: jika $a=2$ dan $b=-5$, hitung ekspresi $ab - 2a + b$ dan verifikasi jawabanmu.""
}",
37,37,38,Hasil dari (2x + 3)(x – 1) adalah....,2x^2 + x – 3,2x^2 + 5x - 3,High,High,Delayed,Try again + Delayed Topic Contingent,"{
  ""Feedback Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Wah, kamu sudah mencoba. Kesempatan bagus! Namun ada kesalahan pada koefisien di suku tengah. Saat mengalikan (2x+3)(x-1), gunakan sifat distributif: kalikan setiap suku di dalam kurung pertama dengan setiap suku di dalam kurung kedua, lalu gabungkan suku-suku sejenis. Contoh langkah jelas: $2x \\cdot x = 2x^2$, $2x \\cdot (-1) = -2x$, $3 \\cdot x = 3x$, $3 \\cdot (-1) = -3$. Kemudian gabungkan -2x dan 3x untuk mendapatkan koefisien x yang tepat (bukan 5x). Coba perbaiki jawabanmu dengan mengikuti langkah-langkah di atas. Latihan 4.1 bagian 1-2 juga bisa membantumu memperkuat konsep suku-suku, koefisien, variabel, dan konstanta. Jika siap, kamu bisa mengirim jawaban perbaikanmu dan kita cek lagi.""
}",
38,38,39,Nilai dari 2(x – 1) + 3(x + 4) adalah....,5x + 8,5x + 10,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Mantap! Jawaban kamu 5x + 10 sudah benar. Kamu sudah menerapkan konsep distributif dengan tepat dan menggabungkan suku-suku sejenis dengan benar. Perhatikan juga bagian solusi yang diberi di awal masalah (5x + 8); tampaknya ada kesalahan pada penjumlahan konstanta. Untuk memperkuat pemahaman, lihat lagi cara kerja distribusi pada masing-masing kurung dan bagaimana kita menggabungkan suku-suku sejenis.\n\nLangkah yang bisa kamu cek:\n- Gunakan sifat distributif: $2(x-1) = 2x - 2$ dan $3(x+4) = 3x + 12$.\n- Gabungkan suku-suku sejenis: koefisien x berasal dari jumlah koefisien di kedua bagian, sedangkan konstanta berasal dari jumlah konstanta di kedua bagian.\n\nTip belajar: cek jawaban dengan mengganti x dengan nilai sederhana seperti x = 0 atau x = 1 untuk melihat apakah nilai keseluruhan ekspresi konsisten dengan jawaban yang kamu tulis. Jika ada perbedaan, periksa kembali langkah distributif dan penjumlahanmu.""
}","{'Feedback Type': 'Topic Contingent', 'Feedback': 'Mantap! Jawaban kamu 5x + 10 sudah benar. Kamu sudah menerapkan konsep distributif dengan tepat dan menggabungkan suku-suku sejenis dengan benar. Perhatikan juga bagian solusi yang diberi di awal masalah (5x + 8); tampaknya ada kesalahan pada penjumlahan konstanta. Untuk memperkuat pemahaman, lihat lagi cara kerja distribusi pada masing-masing kurung dan bagaimana kita menggabungkan suku-suku sejenis.\n\nLangkah yang bisa kamu cek:\n- Gunakan sifat distributif: $2(x-1) = 2x - 2$ dan $3(x+4) = 3x + 12$.\n- Gabungkan suku-suku sejenis: koefisien x berasal dari jumlah koefisien di kedua bagian, sedangkan konstanta berasal dari jumlah konstanta di kedua bagian.\n\nTip belajar: cek jawaban dengan mengganti x dengan nilai sederhana seperti x = 0 atau x = 1 untuk melihat apakah nilai keseluruhan ekspresi konsisten dengan jawaban yang kamu tulis. Jika ada perbedaan, periksa kembali langkah distributif dan penjumlahanmu.'}"
39,39,40,Sederhanakan: 5m – (2m – 4),3m + 4,3m - 4,High,High,Immediate,Try again + Delayed Topic Content,"{
  ""Feedback Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Wah, kamu hampir benar. Kamu menulis jawaban 3m - 4, tapi sepertinya terjadi kesalahan saat menangani tanda minus di depan kurung. Saat kita mengurangi kurung, tanda pada setiap suku di dalam kurung berubah menjadi negatif. Coba terapkan aturan ini pada bentuk: $5m - (2m - 4)$. Ubah menjadi $5m - 2m + 4$ (tanda di dalam kurung dikembangkan). Setelah itu gabungkan suku-suku sejenis ($m$ dengan $m$, konstanta dengan konstanta) untuk mendapatkan bentuk yang lebih sederhana. Latihannya bisa membantu mengingat definisi suku-suku, koefisien, variabel, dan konstanta, serta aturan operasi pada kurung. Latihan 4.1 bagian 1–2 relevan untuk ini. Coba lagi ya, kirim jawabanmu setelah langkah-langkah diperbaiki. Jika perlu, aku bisa cek langkah-langkahmu.""
}","{'Feedback Type': 'Try again + Delayed Topic Content', 'Feedback': 'Wah, kamu hampir benar. Kamu menulis jawaban 3m - 4, tapi sepertinya terjadi kesalahan saat menangani tanda minus di depan kurung. Saat kita mengurangi kurung, tanda pada setiap suku di dalam kurung berubah menjadi negatif. Coba terapkan aturan ini pada bentuk: $5m - (2m - 4)$. Ubah menjadi $5m - 2m + 4$ (tanda di dalam kurung dikembangkan). Setelah itu gabungkan suku-suku sejenis ($m$ dengan $m$, konstanta dengan konstanta) untuk mendapatkan bentuk yang lebih sederhana. Latihannya bisa membantu mengingat definisi suku-suku, koefisien, variabel, dan konstanta, serta aturan operasi pada kurung. Latihan 4.1 bagian 1–2 relevan untuk ini. Coba lagi ya, kirim jawabanmu setelah langkah-langkah diperbaiki. Jika perlu, aku bisa cek langkah-langkahmu.'}"
40,40,41,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....",3(p + q),3p + q,High,Low,Immediate,Topic Contingent,"{
  ""Feedback Type"": ""Topic Contingent"",
  ""Feedback"": ""Wah, kamu sudah mulai mencoba bentuk aljabar dengan tepat. Namun jawabanmu 3p + q tidak sesuai dengan arti frasa “tiga kali jumlah p dan q”. Ini karena pernyataan tersebut seharusnya menggunakan sifat distributif: mengalikan 3 ke setiap unsur di dalam jumlah (p + q). Sehingga, secara konsep kita perlu menerapkan aturan a(b + c) = ab + ac, contohnya $a(b+c) = ab + ac$.\n\nLangkah yang bisa kamu gunakan sekarang (tanpa langsung menuliskan hasil akhirnya):\n1) Tulis bentuk yang ingin kamu kalikan: $3(p+q)$.\n2) Distribusikan 3 ke kedua unsur dalam kurung, yakni menghasilkan dua bagian perkalian: $3\\cdot p$ dan $3\\cdot q$.\n3) Gabungkan kedua bagian tersebut sebagai jumlah.\n\nUntuk memastikan, kamu bisa mencoba mengganti p dan q dengan nilai sederhana untuk melihat apakah jawabanmu mengikuti pola distribusi. Kalau masih bingung, coba tuliskan kembali langkah-langkahnya dan kirim lagi ya. Kamu bisa mencoba lagi sekarang.""
}",
41,41,42,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,2,1,Low,Low,Immediate,Response Contingent,"{
  ""Feedback Type"": ""Response Contingent"",
  ""Feedback"": ""Bagus kamu mencoba! Jawabanmu saat ini yaitu 1 tidak sesuai dengan langkah evaluasi ekspresi. Ayo kita cek bersama-sama secara bertahap.\n\nSubstitusikan x = 1 ke ekspresi: $2x^2 - 3x + 1$ menjadi $2(1)^2 - 3(1) + 1$.\nLangkah yang bisa kamu ikuti:\n- Cek bagian $2x^2$ saat x = 1: $2(1)^2$ = ?\n- Cek bagian $-3x$ saat x = 1: $-3(1)$ = ?\n- Tambahkan konstanta +1 di ujungnya: +1 = ?\n- Gabungkan ketiga hasilnya dengan tanda yang benar (ingat urutan operasi penjumlahan).\nJika ada salah tanda atau salah jumlah, hasil akhirnya bisa berbeda.\n\nCoba kerjakan lagi ya. Setelah selesai, kirim jawaban barumu dan aku bantu cek langkah-langkahnya.""
}","{'Feedback Type': 'Response Contingent', 'Feedback': 'Bagus kamu mencoba! Jawabanmu saat ini yaitu 1 tidak sesuai dengan langkah evaluasi ekspresi. Ayo kita cek bersama-sama secara bertahap.\n\nSubstitusikan x = 1 ke ekspresi: $2x^2 - 3x + 1$ menjadi $2(1)^2 - 3(1) + 1$.\nLangkah yang bisa kamu ikuti:\n- Cek bagian $2x^2$ saat x = 1: $2(1)^2$ = ?\n- Cek bagian $-3x$ saat x = 1: $-3(1)$ = ?\n- Tambahkan konstanta +1 di ujungnya: +1 = ?\n- Gabungkan ketiga hasilnya dengan tanda yang benar (ingat urutan operasi penjumlahan).\nJika ada salah tanda atau salah jumlah, hasil akhirnya bisa berbeda.\n\nCoba kerjakan lagi ya. Setelah selesai, kirim jawaban barumu dan aku bantu cek langkah-langkahnya.'}"
