No,Soal,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
31,Sederhanakan: (5x + 2) – (2x – 3),"Aduh, susah. Jadi 3x - 1, ya kan?",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hei! Kamu nggak sendirian; soal aljabar bisa bikin bingung. Kesalahannya ada pada cara mendistribusikan tanda minus terhadap kurung kedua. Saat ada minus di depan kurung, tanda di dalam kurung juga berubah. Yang benar: $-(2x - 3) = -2x + 3$. Jadi kita bisa tulis ulang sebagai $(5x + 2) - (2x - 3) = (5x + 2) - 2x + 3$. Selanjutnya, gabungkan suku-suku sejenis (suku x dengan x, konstanta dengan konstanta). Coba ulang langkahnya sekarang ya. Kalau masih bingung, kita cek bareng langkah demi langkah.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hei! Kamu nggak sendirian; soal aljabar bisa bikin bingung. Kesalahannya ada pada cara mendistribusikan tanda minus terhadap kurung kedua. Saat ada minus di depan kurung, tanda di dalam kurung juga berubah. Yang benar: $-(2x - 3) = -2x + 3$. Jadi kita bisa tulis ulang sebagai $(5x + 2) - (2x - 3) = (5x + 2) - 2x + 3$. Selanjutnya, gabungkan suku-suku sejenis (suku x dengan x, konstanta dengan konstanta). Coba ulang langkahnya sekarang ya. Kalau masih bingung, kita cek bareng langkah demi langkah.'}"
32,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...","Gini nih, harusnya 9 + 4, jadi 13, dong. Kan kuadrat semua.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah menghitung kuadratnya dengan benar, tetapi tanda operasi di antara keduanya bikin salah. Dalam $x^2 - y^2$, tanda di antara keduanya adalah minus, bukan plus. Kamu menuliskan 9 + 4 karena mengira keduanya dijumlahkan. Coba cek langkahnya: 1) hitung kuadrat masing-masing bilangan, yaitu $x^2$ dan $y^2$; 2) gabungkan nilai itu menggunakan tanda minus: $x^2 - y^2$. Perhatikan bagaimana tanda itu mengubah hasil akhirnya. Ayo kamu coba ulang langkah-langkahnya sekarang, ya.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Kamu sudah menghitung kuadratnya dengan benar, tetapi tanda operasi di antara keduanya bikin salah. Dalam $x^2 - y^2$, tanda di antara keduanya adalah minus, bukan plus. Kamu menuliskan 9 + 4 karena mengira keduanya dijumlahkan. Coba cek langkahnya: 1) hitung kuadrat masing-masing bilangan, yaitu $x^2$ dan $y^2$; 2) gabungkan nilai itu menggunakan tanda minus: $x^2 - y^2$. Perhatikan bagaimana tanda itu mengubah hasil akhirnya. Ayo kamu coba ulang langkah-langkahnya sekarang, ya.'}"
33,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,Bukannya jadi 5x – y ya? Itu kan cuma dikurang-kurang biasa aja.,Verification + Delayed Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Halo! Terima kasih sudah mencoba.\n\nSepertinya ada kesalahan pada tanda saat menggabungkan suku saat bentuk sederhana. Jawabanmu 5x – y tidak sesuai dengan langkah ekspansi yang benar.\n\nLangkah yang bisa kamu ikuti:\n\n- Ekspansi:\n  $2(x+y) = 2x + 2y$\n  $-3(x - y) = -3x + 3y$\n\n- Gabungkan suku-suku sejenis:\n  koefisien x: 2 + (-3) = ?\n  koefisien y: 2 + 3 = ?\n\n- Susun bentuk sederhana sebagai (koefisien_x)·x + (koefisien_y)·y.\n\nCoba isi bagian yang kosong ini dan cek kembali jawabanmu. Kalau perlu, ceritakan langkah-langkah yang kamu pakai supaya kita bisa lihat di mana letak salahnya. Kamu pasti bisa!""
}","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': 'Halo! Terima kasih sudah mencoba.\n\nSepertinya ada kesalahan pada tanda saat menggabungkan suku saat bentuk sederhana. Jawabanmu 5x – y tidak sesuai dengan langkah ekspansi yang benar.\n\nLangkah yang bisa kamu ikuti:\n\n- Ekspansi:\n  $2(x+y) = 2x + 2y$\n  $-3(x - y) = -3x + 3y$\n\n- Gabungkan suku-suku sejenis:\n  koefisien x: 2 + (-3) = ?\n  koefisien y: 2 + 3 = ?\n\n- Susun bentuk sederhana sebagai (koefisien_x)·x + (koefisien_y)·y.\n\nCoba isi bagian yang kosong ini dan cek kembali jawabanmu. Kalau perlu, ceritakan langkah-langkah yang kamu pakai supaya kita bisa lihat di mana letak salahnya. Kamu pasti bisa!'}"
34,Hasil dari 3a(2a – 1) adalah....,"Gini nih, harusnya 6a - 3 aja, kan?",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Kesalahanmu: kamu tidak mendistribusikan $3a$ ke seluruh suku di dalam tanda kurung. Coba lihat lagi: kamu perlu mengalikan $3a$ dengan setiap suku di dalam kurung ($2a$ dan $-1$). Ingat aturan pangkat: $a \\\\cdot a = a^2$, jadi penyebaran akan menghasilkan suku dengan $a^2$ dan suku dengan $a$. Coba ulangi langkahnya dengan menuliskan setiap hasil perkalian secara terpisah, agar tidak ada suku yang terlewat. Setelah itu, gabungkan suku-suku sejenis untuk merapikan polinomialnya. Nanti kita akan lanjut ke topik terkait sifat distributif dan penyederhanaan polinomial kuadrat agar kamu bisa lebih mantap mengecek jawabanmu.""
}",
35,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....","Kayaknya hasilnya 9 deh, soalnya 4 kali 0 kan 0, terus 3 kuadrat 9.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Bagus, kamu sudah memulai dengan mengecek bagian-bagian ekspresi. Kamu benar bahwa jika $x = 0$ maka $4x = 0$, dan jika $y = 3$ maka $y^2 = 9$. Namun perhatikan tanda operasinya di dalam ekspresi $4x - y^2$. Operasi antara kedua bagian tersebut adalah pengurangan, bukan penjumlahan. Jadi langkah yang benar adalah menuliskan $4x - y^2$ sebagai $0 - 9$. Hasilnya akan bernilai negatif (bukan 9). Coba ulangi perhitungannya dengan mengikuti langkah-langkah ini, dan sebutkan jawaban akhirnya setelah memastikan tanda operasinya. Tips singkat: hitung dahulu bagian-bagiannya ($4x = 0$, $y^2 = 9$), lalu lakukan pengurangan: $0 - 9$.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Bagus, kamu sudah memulai dengan mengecek bagian-bagian ekspresi. Kamu benar bahwa jika $x = 0$ maka $4x = 0$, dan jika $y = 3$ maka $y^2 = 9$. Namun perhatikan tanda operasinya di dalam ekspresi $4x - y^2$. Operasi antara kedua bagian tersebut adalah pengurangan, bukan penjumlahan. Jadi langkah yang benar adalah menuliskan $4x - y^2$ sebagai $0 - 9$. Hasilnya akan bernilai negatif (bukan 9). Coba ulangi perhitungannya dengan mengikuti langkah-langkah ini, dan sebutkan jawaban akhirnya setelah memastikan tanda operasinya. Tips singkat: hitung dahulu bagian-bagiannya ($4x = 0$, $y^2 = 9$), lalu lakukan pengurangan: $0 - 9$.'}"
36,Hasil dari –(3x – 2) + (x + 5) adalah....,"Waduh, ini kan cuma ditambahin aja, jadi -3x + x = -2x. Terus 2 + 5 = 7. Jadi -2x + 7. Eh, salah ya? Jadi -4x + 3 deh!",Correct Response + Response Contingent,,
37,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",Kayanya 2 deh.,Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Mantap dengan SPK dan SAL tinggi. Sepertinya ada kesalahan saat menjumlahkan komponen ekspresi. Coba cek ulang langkah-langkah berikut (tanpa langsung menuliskan jawaban akhirnya):\n\n- Tuliskan ekspresi: $ab - 2a + b$ dengan $a=1$, $b=-3$.\n- Hitung setiap bagian secara terpisah: $ab = a\\cdot b$, $-2a = -2\\cdot a$, dan $b$.\n- Gantilah nilai ke dalam ekspresi: $ab - 2a + b = (a\\cdot b) + (-2\\cdot a) + b$.\n- Substitusikan nilai: $(1\\cdot b) + (-2\\cdot 1) + b$ lalu lanjutkan dengan penjumlahan berurutan (perhatikan tanda).\n\nInti yang perlu dicek: tanda-tanda pada setiap bagian dan urutan penjumlahan, karena kesalahan kecil di sana bisa mengubah hasil akhir.\n\nDelay Topic Content: untuk pembelajaran berikutnya, kita akan memperkenalkan cara menggunakan properti distributif untuk menyederhanakan ekspresi seperti ini, misalnya menulis sebagai $a(b-2) + b$, sehingga perhitungannya bisa lebih cepat.""
}",
38,Hasil dari (2x + 3)(x – 1) adalah....,"Ah, gampang nih, hasilnya 2x^2 – 3.",Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Kamu hampir tepat, tetapi ada yang terlewat. Jawabanmu kehilangan satu suku tengah yang harusnya muncul ketika mengalikan kedua kurung. Gunakan properti distributif/FOIL: $(2x+3)(x-1) = (2x)(x) + (2x)(-1) + 3(x) + 3(-1)$. Dari langkah tersebut, kita mendapat empat bagian yang kemudian disederhanakan menjadi tiga bagian utama: satu suku kuadrat, satu suku linear, dan satu konstan; suku linear berasal dari penjumlahan dua suku linear tadi. Coba ulang lagi dengan langkah-langkah di atas dan pastikan semua suku diperhitungkan dengan benar. Jika perlu, cek dengan nilai x tertentu untuk memastikan konsistensi. Nantikan pembahasan berikutnya tentang FOIL/distributive property dan cara menggabungkan suku-suku sejenis agar tidak terlewat.""
}","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Kamu hampir tepat, tetapi ada yang terlewat. Jawabanmu kehilangan satu suku tengah yang harusnya muncul ketika mengalikan kedua kurung. Gunakan properti distributif/FOIL: $(2x+3)(x-1) = (2x)(x) + (2x)(-1) + 3(x) + 3(-1)$. Dari langkah tersebut, kita mendapat empat bagian yang kemudian disederhanakan menjadi tiga bagian utama: satu suku kuadrat, satu suku linear, dan satu konstan; suku linear berasal dari penjumlahan dua suku linear tadi. Coba ulang lagi dengan langkah-langkah di atas dan pastikan semua suku diperhitungkan dengan benar. Jika perlu, cek dengan nilai x tertentu untuk memastikan konsistensi. Nantikan pembahasan berikutnya tentang FOIL/distributive property dan cara menggabungkan suku-suku sejenis agar tidak terlewat.'}"
39,Nilai dari 2(x – 1) + 3(x + 4) adalah....,"Yah, jawabannya 5x + 10, kan? *pikirku*",Try again + Delayed Topic Contingent,,
40,Sederhanakan: 5m – (2m – 4),"Duh, ini mah gampang. Jawabannya 3m - 4 kan?",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Bagus bahwa kamu merasa soalnya mudah — itu tanda SPK kamu cukup tinggi. Namun ada kesalahan pada tanda saat menghapus kurung: jawabanmu 3m - 4 menunjukkan tanda minus di depan kurung tidak diterapkan ke semua suku di dalamnya. Padahal aturan aljabar yang relevan adalah $a - (b - c) = a - b + c$; tanda minus di depan kurung membuat suku di dalam kurung berubah tanda. Langkah penting yang perlu diingat: $5m - (2m - 4) = 5m - 2m + 4$. Coba lanjutkan dengan menyederhanakan lagi untuk melihat bagaimana koefisien $m$ dan konstanta berubah. Kalau mau, kita bisa latihan bareng lagi dan aku bantu cek langkah-langkahnya.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Bagus bahwa kamu merasa soalnya mudah — itu tanda SPK kamu cukup tinggi. Namun ada kesalahan pada tanda saat menghapus kurung: jawabanmu 3m - 4 menunjukkan tanda minus di depan kurung tidak diterapkan ke semua suku di dalamnya. Padahal aturan aljabar yang relevan adalah $a - (b - c) = a - b + c$; tanda minus di depan kurung membuat suku di dalam kurung berubah tanda. Langkah penting yang perlu diingat: $5m - (2m - 4) = 5m - 2m + 4$. Coba lanjutkan dengan menyederhanakan lagi untuk melihat bagaimana koefisien $m$ dan konstanta berubah. Kalau mau, kita bisa latihan bareng lagi dan aku bantu cek langkah-langkahnya.'}"
41,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....","Ah, gampang! 3p + q, kan?",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Wah, angkanya bagus! Namun ada kesalahan dalam penerapan sifat distributif. Ketika bentuknya adalah tiga kali jumlah (p + q), 3 seharusnya mengalikan kedua anggota di dalam kurung, bukan hanya satu dari keduanya. Gunakan hukum distributif: a*(b+c) = a*b + a*c. Jadi, karena ada 3 di depan (p + q), pastikan setiap anggota dalam jumlah tersebut dikalikan 3. Coba perbaiki jawabanmu dan hitung ulang.""
}","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Wah, angkanya bagus! Namun ada kesalahan dalam penerapan sifat distributif. Ketika bentuknya adalah tiga kali jumlah (p + q), 3 seharusnya mengalikan kedua anggota di dalam kurung, bukan hanya satu dari keduanya. Gunakan hukum distributif: a*(b+c) = a*b + a*c. Jadi, karena ada 3 di depan (p + q), pastikan setiap anggota dalam jumlah tersebut dikalikan 3. Coba perbaiki jawabanmu dan hitung ulang.'}"
42,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,"Gini nih, gampang! Jawabannya 4, kan?",Correct Response + Response Contingent,,
43,"Jika a = –3, maka nilai dari a^2 – 4a adalah....","Kayaknya hasilnya 9, deh. Aku kaliin aja 3 sama 3, terus kurangin 4 kali 3, jadi 9 dikurang 12.",Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Halo! Kamu hampir benar. Sepertinya bagian hitung untuk -4a belum tepat. Saat a = -3, perhatikan tanda di depan 4: -4a = (-4)(-3). Karena kedua angka negatif dikalikan, hasilnya positif. Kamu sudah benar menuliskan a^2 sebagai (-3)^2, jadi jadikan bentuknya: $a^2 - 4a = (-3)^2 - 4(-3)$. Perhatikan bahwa bagian kedua perlu memperhitungkan tanda negatif sehingga menghasilkan bilangan positif. Coba lanjutkan dengan menjumlahkan kedua bagian tersebut. Nanti kita bahas topik tanda-tanda pada operasi aljabar lebih lanjut ya.""
}","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Halo! Kamu hampir benar. Sepertinya bagian hitung untuk -4a belum tepat. Saat a = -3, perhatikan tanda di depan 4: -4a = (-4)(-3). Karena kedua angka negatif dikalikan, hasilnya positif. Kamu sudah benar menuliskan a^2 sebagai (-3)^2, jadi jadikan bentuknya: $a^2 - 4a = (-3)^2 - 4(-3)$. Perhatikan bahwa bagian kedua perlu memperhitungkan tanda negatif sehingga menghasilkan bilangan positif. Coba lanjutkan dengan menjumlahkan kedua bagian tersebut. Nanti kita bahas topik tanda-tanda pada operasi aljabar lebih lanjut ya.'}"
44,"Jika x = 2, y = –1, maka nilai dari 3x – 4y adalah....","Duh, 3(2) kan 6, terus 4(-1) jadi -4, jadi 6-4=2! Harusnya 2, kan?",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah mulai dengan substitusi: 3(2) = 6, jadi bagian pertama sudah benar. Namun ada kesalahan pada bagian -4y. Dengan y = -1, (-4) × (-1) = +4, jadi hasil dari -4y tidak sama dengan -4. Ekspresinya menjadi $3\\cdot 2 - 4\\cdot(-1)$. Karena y bernilai negatif, perkalian (-4) dengan (-1) memberi tanda positif. Coba lanjutkan dengan menghitung masing-masing bagian secara terpisah dan gabungkan hasilnya: substitusi lengkap ($x=2$, $y=-1$) menjadi $3\\cdot 2 - 4\\cdot(-1)$, lalu kerjakan operasinya. Kamu bisa lanjutkan sendiri sekarang; kalau mau aku bantu langkah demi langkah lagi, bilang ya.""
}",
45,Hasil dari (x – 3)(x + 3) adalah....,Kayaknya hasilnya x^2 + 9 deh.,Correct Response + Topic Contingent,,
46,Sederhanakan: 4p + 3q – 2p – q,"Ah, gampang nih! Jawabannya 6p + 4q kan?",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Wah, kamu cepat banget! Kamu punya SPK dan SAL yang tinggi, jadi ayo kita cek langkahnya lagi. Kesalahanmu muncul pada cara menggabungkan suku-suku sejenis. Dalam ekspresi 4p + 3q – 2p – q, sebaiknya kita pisah dulu suku dengan variabel yang sama. Coba cek langkah ini: $4p - 2p = (4-2)p$ dan $3q - q = (3-1)q$. Jadi ekspresi itu bisa dilihat sebagai jumlah dari dua bagian ini: $(4-2)p + (3-1)q$. Tuliskan langkah-langkahnya satu per satu dan pastikan koefisien untuk p dan untuk q telah diproses dengan benar sebelum digabungkan. Topik terkait seperti cara menggabungkan suku sejenis akan kita ulas lagi nanti untuk memperkuat pemahamanmu.”
}",
47,Hasil pengurangan (6y + 4) – (2y + 7) adalah....,"Hmm, gampang! Kayaknya 8y + 11 deh?",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Wah, kamu sudah mencoba soal ini. Jawabanmu $8y+11$ belum tepat, ya. Kemungkinan besar kamu tidak menerapkan tanda minus pada seluruh suku di dalam kurung kedua. Ingat aturan: saat menghitung $(6y+4) - (2y+7)$, tanda minus di depan kurungan kedua seharusnya diterapkan ke setiap suku di dalamnya, jadi $-(2y+7) = -2y - 7$.\n\nLangkah yang bisa kamu lakukan sekarang (tanpa memberikan jawaban akhir):\n- Pisahkan menjadi dua bagian: bagian yang mengandung $y$ dan bagian konstanta. Lakukan pengurangan untuk masing-masing bagian secara terpisah.\n- Tulis ulang operasi dengan tanda yang benar, contohnya pada bagian koefisien $y$ dan bagian konstan. Kemudian gabungkan keduanya menjadi satu ekspresi aljabar.\n\nCoba perbaiki dengan langkah-langkah di atas dan jelaskan langkah-langkah yang kamu pakai. Kamu bisa!""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Wah, kamu sudah mencoba soal ini. Jawabanmu $8y+11$ belum tepat, ya. Kemungkinan besar kamu tidak menerapkan tanda minus pada seluruh suku di dalam kurung kedua. Ingat aturan: saat menghitung $(6y+4) - (2y+7)$, tanda minus di depan kurungan kedua seharusnya diterapkan ke setiap suku di dalamnya, jadi $-(2y+7) = -2y - 7$.\n\nLangkah yang bisa kamu lakukan sekarang (tanpa memberikan jawaban akhir):\n- Pisahkan menjadi dua bagian: bagian yang mengandung $y$ dan bagian konstanta. Lakukan pengurangan untuk masing-masing bagian secara terpisah.\n- Tulis ulang operasi dengan tanda yang benar, contohnya pada bagian koefisien $y$ dan bagian konstan. Kemudian gabungkan keduanya menjadi satu ekspresi aljabar.\n\nCoba perbaiki dengan langkah-langkah di atas dan jelaskan langkah-langkah yang kamu pakai. Kamu bisa!'}"
48,Hasil dari (x + 2) + (x – 5) adalah....,"Aduh, gampang! x^2 - 3.",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Wah, kamu punya pemahaman umum yang kuat untuk topik aljabar. Namun jawaban yang kamu berikan mengandung kesalahan konsep. Jawabanmu $x^2 - 3$ muncul karena sepertinya kamu menilai penjumlahan $(x+2)+(x-5)$ seperti operasi lain (misalnya mengalikan $x$ dengan $x$). Hanya menambahkan ekspresi seperti itu tidak akan menghasilkan kuadrat. Untuk soal ini, kita perlu menjumlahkan suku yang sejenis.\n\nLangkah yang benar (tanpa menyimpulkan jawaban akhirnya): tulis ekspresi sebagai jumlah suku terpisah: $(x+2)+(x-5) = x + 2 + x - 5$. Lalu gabungkan suku yang sejenis: bagian $x$ dengan bagian $x$, dan bagian konstanta dengan konstanta. Fokus pada dua hal ini: koefisien dari $x$, dan nilai konstan.\n\nTips cepat: pastikan kamu menuliskan setiap bagian tanpa mengubah operasinya, baru kemudian gabungkan. Cek tanda pada bagian konstanta, karena $+2$ dan $-5$ memiliki tanda berbeda.\n\nKamu bisa coba lagi sekarang. Karena kamu punya SPK tinggi, aku yakin kamu bisa memperbaikinya. Jika mau, kita bisa kerjakan langkah demi langkah bersama-sama hingga kamu merasa yakin.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Wah, kamu punya pemahaman umum yang kuat untuk topik aljabar. Namun jawaban yang kamu berikan mengandung kesalahan konsep. Jawabanmu $x^2 - 3$ muncul karena sepertinya kamu menilai penjumlahan $(x+2)+(x-5)$ seperti operasi lain (misalnya mengalikan $x$ dengan $x$). Hanya menambahkan ekspresi seperti itu tidak akan menghasilkan kuadrat. Untuk soal ini, kita perlu menjumlahkan suku yang sejenis.\n\nLangkah yang benar (tanpa menyimpulkan jawaban akhirnya): tulis ekspresi sebagai jumlah suku terpisah: $(x+2)+(x-5) = x + 2 + x - 5$. Lalu gabungkan suku yang sejenis: bagian $x$ dengan bagian $x$, dan bagian konstanta dengan konstanta. Fokus pada dua hal ini: koefisien dari $x$, dan nilai konstan.\n\nTips cepat: pastikan kamu menuliskan setiap bagian tanpa mengubah operasinya, baru kemudian gabungkan. Cek tanda pada bagian konstanta, karena $+2$ dan $-5$ memiliki tanda berbeda.\n\nKamu bisa coba lagi sekarang. Karena kamu punya SPK tinggi, aku yakin kamu bisa memperbaikinya. Jika mau, kita bisa kerjakan langkah demi langkah bersama-sama hingga kamu merasa yakin.'}"
49,"Bentuk aljabar dari ""hasil kali 5 dan y"" adalah....","Hasil kali 5 sama y? Hmm, 5 + y aja deh.",Verification + Delayed Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah mencoba, tapi ada salah paham di kata 'hasil kali'. 'Hasil kali' berarti operasi perkalian, bukan penjumlahan. Coba cek dengan contoh sederhana: jika y = 2, produk antara 5 dan y adalah 10, sedangkan penjumlahan antara 5 dan y adalah 7. Dari situ terlihat perbedaan keduanya. Langkah perbaikan: revisi jawabanmu dengan menyatakan bahwa kita mengalikan 5 dengan y (bukan menambahnya). Periksa lagi arti kata kunci pada soal dan jelaskan mengapa jawabanmu tadi tidak tepat serta bagaimana arti kata kunci memandu jawabanmu. Kalau perlu, buat satu contoh kecil untuk membuktikan perbedaan antara perkalian dan penjumlahan.""
}","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': ""Kamu sudah mencoba, tapi ada salah paham di kata 'hasil kali'. 'Hasil kali' berarti operasi perkalian, bukan penjumlahan. Coba cek dengan contoh sederhana: jika y = 2, produk antara 5 dan y adalah 10, sedangkan penjumlahan antara 5 dan y adalah 7. Dari situ terlihat perbedaan keduanya. Langkah perbaikan: revisi jawabanmu dengan menyatakan bahwa kita mengalikan 5 dengan y (bukan menambahnya). Periksa lagi arti kata kunci pada soal dan jelaskan mengapa jawabanmu tadi tidak tepat serta bagaimana arti kata kunci memandu jawabanmu. Kalau perlu, buat satu contoh kecil untuk membuktikan perbedaan antara perkalian dan penjumlahan.""}"
50,"Bentuk aljabar dari ""selisih x dan 7"" adalah....","Hmm, 7 dikurangi x kali ya?",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah menimbang inti soal, tetapi urutan kata pada frasa 'selisih x dan 7' itu penting. Selisih antara dua bilangan mengikuti urutan penyebutannya: bilangan yang disebut pertama dikurangi bilangan yang disebut kedua. Dalam kalimat itu, bilangan pertama adalah x dan bilangan kedua adalah 7, jadi susunannya mengikuti urutan tersebut. Coba cek lagi dengan nilai x yang berbeda untuk melihat bagaimana hasilnya berubah jika urutan pengurangan tetap sesuai penyebutan. Tips praktis: baca soal dengan saksama, identifikasi dua bilangan yang disebut, lalu tulis selisihnya mengikuti urutan yang disebutkan. Semangat ya, kamu bisa!""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': ""Kamu sudah menimbang inti soal, tetapi urutan kata pada frasa 'selisih x dan 7' itu penting. Selisih antara dua bilangan mengikuti urutan penyebutannya: bilangan yang disebut pertama dikurangi bilangan yang disebut kedua. Dalam kalimat itu, bilangan pertama adalah x dan bilangan kedua adalah 7, jadi susunannya mengikuti urutan tersebut. Coba cek lagi dengan nilai x yang berbeda untuk melihat bagaimana hasilnya berubah jika urutan pengurangan tetap sesuai penyebutan. Tips praktis: baca soal dengan saksama, identifikasi dua bilangan yang disebut, lalu tulis selisihnya mengikuti urutan yang disebutkan. Semangat ya, kamu bisa!""}"
