No,Soal_x,Jawaban,Jawaban_Salah,SPK,SAL,Final_Feedback_Type,Soal_y,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
21,"Bentuk aljabar dari ""jumlah dari dua kali x dan 7"" adalah....",2x + 7,"Duh, gampang! Pasti 2(x + 7) kan?",Low,Low,Correct Response + Response Contingent,"Bentuk aljabar dari ""jumlah dari dua kali x dan 7"" adalah....","Duh, gampang! Pasti 2(x + 7) kan?",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini dengan semangat, bagus sekali! Namun, mari kita lihat lebih dekat. Soal ini meminta bentuk aljabar dari 'jumlah dari dua kali x dan 7'. Kamu menulis $2(x + 7)$, yang artinya dua kali jumlah dari x dan 7. Coba pikirkan lagi, bagaimana cara menulis 'dua kali x' dan kemudian menjumlahkannya dengan 7? Kamu sudah hampir benar, ayo coba lagi!""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': ""Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini dengan semangat, bagus sekali! Namun, mari kita lihat lebih dekat. Soal ini meminta bentuk aljabar dari 'jumlah dari dua kali x dan 7'. Kamu menulis $2(x + 7)$, yang artinya dua kali jumlah dari x dan 7. Coba pikirkan lagi, bagaimana cara menulis 'dua kali x' dan kemudian menjumlahkannya dengan 7? Kamu sudah hampir benar, ayo coba lagi!""}"
22,Sederhanakan: (x + 4)(x + 1),x^2 + 5x + 4,"Hmm, gampang! Hasilnya x^2 + 4.",High,High,Try again + Delayed Topic Content,Sederhanakan: (x + 4)(x + 1),"Hmm, gampang! Hasilnya x^2 + 4.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah memulai dengan baik, tapi ada sedikit kesalahan dalam langkah-langkahnya. Coba perhatikan kembali cara mengalikan dua binomial. Ingat, kita perlu menggunakan metode distributif atau FOIL (First, Outer, Inner, Last) untuk memastikan semua bagian dari kedua binomial dikalikan. Coba pikirkan lagi bagaimana cara mengalikan $(x + 4)(x + 1)$ dengan benar. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hai! Sepertinya kamu sudah memulai dengan baik, tapi ada sedikit kesalahan dalam langkah-langkahnya. Coba perhatikan kembali cara mengalikan dua binomial. Ingat, kita perlu menggunakan metode distributif atau FOIL (First, Outer, Inner, Last) untuk memastikan semua bagian dari kedua binomial dikalikan. Coba pikirkan lagi bagaimana cara mengalikan $(x + 4)(x + 1)$ dengan benar. Kamu pasti bisa!'}"
23,Hasil dari 2x^2 + 3x – 5 jika x = –1 adalah....,-6,"Hmm, kalau x = -1, berarti 2(-1)^2 + 3(-1) – 5... 2(1) - 3 - 5. Jadi 2 - 8 = -6. Eh, salah deng! Aku dapatnya 0 aja.",High,High,Try again + Delayed Topic Contingent,Hasil dari 2x^2 + 3x – 5 jika x = –1 adalah....,"Hmm, kalau x = -1, berarti 2(-1)^2 + 3(-1) – 5... 2(1) - 3 - 5. Jadi 2 - 8 = -6. Eh, salah deng! Aku dapatnya 0 aja.",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan baik dengan mengganti $x$ dengan $-1$. Namun, ada sedikit kesalahan dalam perhitunganmu setelah itu. Yuk, coba perhatikan lagi langkah-langkahnya. Ingat bahwa $(-1)^2$ itu sama dengan $1$, jadi $2(-1)^2$ akan menjadi $2 \times 1$. Setelah itu, jangan lupa untuk menghitung $3(-1)$ dengan benar. Coba hitung ulang dan lihat apakah hasilnya berbeda. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan baik dengan mengganti $x$ dengan $-1$. Namun, ada sedikit kesalahan dalam perhitunganmu setelah itu. Yuk, coba perhatikan lagi langkah-langkahnya. Ingat bahwa $(-1)^2$ itu sama dengan $1$, jadi $2(-1)^2$ akan menjadi $2 \times 1$. Setelah itu, jangan lupa untuk menghitung $3(-1)$ dengan benar. Coba hitung ulang dan lihat apakah hasilnya berbeda. Kamu pasti bisa!'}"
24,"Nilai dari (x^2 – y^2) saat x = 5, y = 3 adalah....",16,"Kayaknya 4 deh. Soalnya 5 kuadrat kan 25, 3 kuadrat 9. Terus 25 kurang 9, eh, kok beda ya? Ah, 4 aja lah.",High,High,Try again + Delayed Topic Content,"Nilai dari (x^2 – y^2) saat x = 5, y = 3 adalah....","Kayaknya 4 deh. Soalnya 5 kuadrat kan 25, 3 kuadrat 9. Terus 25 kurang 9, eh, kok beda ya? Ah, 4 aja lah.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar menghitung $5^2 = 25$ dan $3^2 = 9$. Namun, perhatikan bahwa operasi yang harus dilakukan adalah $x^2 - y^2$. Coba pikirkan kembali langkah-langkahnya dan hitung ulang. Kamu pasti bisa! Jika masih bingung, ingat bahwa $x^2 - y^2$ adalah bentuk dari perbedaan kuadrat. Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar menghitung $5^2 = 25$ dan $3^2 = 9$. Namun, perhatikan bahwa operasi yang harus dilakukan adalah $x^2 - y^2$. Coba pikirkan kembali langkah-langkahnya dan hitung ulang. Kamu pasti bisa! Jika masih bingung, ingat bahwa $x^2 - y^2$ adalah bentuk dari perbedaan kuadrat. Semangat!'}"
25,Bentuk sederhana dari 4x – [2x – (x – 3)] adalah....,3x + 3,"Gini aja, 4x – 2x – x + 3, jadi 1x + 3. Jawabannya x + 3.",Low,High,Correct Response + Response Contingent,Bentuk sederhana dari 4x – [2x – (x – 3)] adalah....,"Gini aja, 4x – 2x – x + 3, jadi 1x + 3. Jawabannya x + 3.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah melakukan langkah yang bagus dengan membuka kurungnya. Namun, ada sedikit kesalahan saat mengurangkan $2x - (x - 3)$. Ingat bahwa tanda negatif di depan kurung mempengaruhi semua elemen di dalam kurung. Coba perhatikan lagi langkah tersebut, dan pastikan kamu mengalikan tanda negatif dengan setiap elemen di dalam kurung. Kamu sudah sangat dekat dengan jawaban yang benar, jadi tetap semangat!""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah melakukan langkah yang bagus dengan membuka kurungnya. Namun, ada sedikit kesalahan saat mengurangkan $2x - (x - 3)$. Ingat bahwa tanda negatif di depan kurung mempengaruhi semua elemen di dalam kurung. Coba perhatikan lagi langkah tersebut, dan pastikan kamu mengalikan tanda negatif dengan setiap elemen di dalam kurung. Kamu sudah sangat dekat dengan jawaban yang benar, jadi tetap semangat!'}"
26,Hasil dari (a – 2)(a + 2) adalah....,a^2 – 4,"Lupa dikalikan silang, jadi hasilnya (a^2 – 4a + 4).",High,High,Try again + Delayed Topic Contingent,Hasil dari (a – 2)(a + 2) adalah....,"Lupa dikalikan silang, jadi hasilnya (a^2 – 4a + 4).",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Sepertinya kamu lupa menerapkan konsep perkalian dua suku yang berbentuk $(a - b)(a + b)$. Ingat bahwa hasil dari perkalian ini adalah bentuk selisih kuadrat. Coba ingat kembali rumusnya dan terapkan pada soal ini. Kamu sudah hampir benar, hanya perlu sedikit penyesuaian. Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Sepertinya kamu lupa menerapkan konsep perkalian dua suku yang berbentuk $(a - b)(a + b)$. Ingat bahwa hasil dari perkalian ini adalah bentuk selisih kuadrat. Coba ingat kembali rumusnya dan terapkan pada soal ini. Kamu sudah hampir benar, hanya perlu sedikit penyesuaian. Semangat!'}"
27,"Jika x = –1, maka nilai dari x^3 – 2x^2 + x adalah....",-2,"Eh, gampang! Kan x-nya -1, jadi hasilnya 4 dong.",High,Low,Correct Response + Topic Contingent,"Jika x = –1, maka nilai dari x^3 – 2x^2 + x adalah....","Eh, gampang! Kan x-nya -1, jadi hasilnya 4 dong.",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah benar memulai dengan mengganti $x$ dengan $-1$. Namun, sepertinya ada kesalahan dalam perhitunganmu. Yuk kita cek bersama-sama. Ingat, ketika menghitung $(-1)^3$, hasilnya adalah $-1$, bukan $1$. Coba hitung ulang setiap langkahnya dengan hati-hati, terutama saat mengalikan bilangan negatif. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah benar memulai dengan mengganti $x$ dengan $-1$. Namun, sepertinya ada kesalahan dalam perhitunganmu. Yuk kita cek bersama-sama. Ingat, ketika menghitung $(-1)^3$, hasilnya adalah $-1$, bukan $1$. Coba hitung ulang setiap langkahnya dengan hati-hati, terutama saat mengalikan bilangan negatif. Semangat!'}"
28,Sederhanakan: –3(x – 2) + 2(x + 1),–x + 4,"Aduh, ribet amat. Jawabannya 5x – 4 aja deh.",Low,Low,Correct Response + Response Contingent,Sederhanakan: –3(x – 2) + 2(x + 1),"Aduh, ribet amat. Jawabannya 5x – 4 aja deh.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu merasa soal ini ribet, tapi jangan khawatir, kita bisa coba pelan-pelan. Pertama, mari kita lihat langkah-langkahnya. Kamu perlu mendistribusikan angka di depan kurung ke setiap elemen di dalam kurung. Jadi, untuk $-3(x - 2)$, kamu kalikan $-3$ dengan $x$ dan $-3$ dengan $-2$. Lalu, lakukan hal yang sama untuk $2(x + 1)$. Setelah itu, kamu bisa menjumlahkan atau mengurangkan hasilnya. Yuk, coba lagi dengan cara ini, pasti bisa lebih mudah!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu merasa soal ini ribet, tapi jangan khawatir, kita bisa coba pelan-pelan. Pertama, mari kita lihat langkah-langkahnya. Kamu perlu mendistribusikan angka di depan kurung ke setiap elemen di dalam kurung. Jadi, untuk $-3(x - 2)$, kamu kalikan $-3$ dengan $x$ dan $-3$ dengan $-2$. Lalu, lakukan hal yang sama untuk $2(x + 1)$. Setelah itu, kamu bisa menjumlahkan atau mengurangkan hasilnya. Yuk, coba lagi dengan cara ini, pasti bisa lebih mudah!'}"
29,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....",1,"Hmm, kalau gak salah, jawabannya 3 deh.",Low,High,Correct Response + Response Contingent,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....","Hmm, kalau gak salah, jawabannya 3 deh.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah hampir benar, tapi ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Pertama, kita substitusi nilai $a = 2$ dan $b = -1$ ke dalam persamaan $a^2 + ab - b^2$. Jadi, kita hitung $a^2 = 2^2$, $ab = 2 \times (-1)$, dan $b^2 = (-1)^2$. Coba hitung ulang masing-masing bagian ini, dan lihat apakah hasilnya sesuai dengan jawabanmu. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah hampir benar, tapi ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Pertama, kita substitusi nilai $a = 2$ dan $b = -1$ ke dalam persamaan $a^2 + ab - b^2$. Jadi, kita hitung $a^2 = 2^2$, $ab = 2 \times (-1)$, dan $b^2 = (-1)^2$. Coba hitung ulang masing-masing bagian ini, dan lihat apakah hasilnya sesuai dengan jawabanmu. Semangat!'}"
30,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,-5,"Aduh, ribet amat! Kan (2(3) + 1)(3 – 4) = (7)(-1). Jadi, hasilnya 7.",High,Low,Correct Response + Topic Contingent,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,"Aduh, ribet amat! Kan (2(3) + 1)(3 – 4) = (7)(-1). Jadi, hasilnya 7.",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan baik dengan memasukkan nilai $x = 3$ ke dalam persamaan. Namun, ada sedikit kesalahan dalam perhitungan akhir. Kamu sudah benar menghitung $(2(3) + 1)$ menjadi $7$, tetapi perhatikan bahwa $(3 - 4)$ adalah $-1$. Jadi, ketika kamu mengalikan $7$ dengan $-1$, hasilnya seharusnya negatif. Coba periksa kembali langkah terakhir itu, ya! Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan baik dengan memasukkan nilai $x = 3$ ke dalam persamaan. Namun, ada sedikit kesalahan dalam perhitungan akhir. Kamu sudah benar menghitung $(2(3) + 1)$ menjadi $7$, tetapi perhatikan bahwa $(3 - 4)$ adalah $-1$. Jadi, ketika kamu mengalikan $7$ dengan $-1$, hasilnya seharusnya negatif. Coba periksa kembali langkah terakhir itu, ya! Kamu pasti bisa!'}"
31,Sederhanakan: (5x + 2) – (2x – 3),3x + 5,"Aduh, susah. Jadi 3x - 1, ya kan?",Low,Low,Correct Response + Response Contingent,Sederhanakan: (5x + 2) – (2x – 3),"Aduh, susah. Jadi 3x - 1, ya kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba dengan baik. Mari kita lihat langkah-langkahnya bersama. Ketika kamu menyederhanakan $(5x + 2) - (2x - 3)$, ingat bahwa tanda minus di depan kurung kedua berarti kamu harus mengubah tanda setiap elemen di dalamnya. Jadi, $(2x - 3)$ menjadi $(-2x + 3)$. Coba pikirkan kembali langkah ini dan lihat apakah hasilnya bisa berbeda. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah mencoba dengan baik. Mari kita lihat langkah-langkahnya bersama. Ketika kamu menyederhanakan $(5x + 2) - (2x - 3)$, ingat bahwa tanda minus di depan kurung kedua berarti kamu harus mengubah tanda setiap elemen di dalamnya. Jadi, $(2x - 3)$ menjadi $(-2x + 3)$. Coba pikirkan kembali langkah ini dan lihat apakah hasilnya bisa berbeda. Kamu pasti bisa!'}"
32,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...",5,"Gini nih, harusnya 9 + 4, jadi 13, dong. Kan kuadrat semua.",Low,Low,Correct Response + Response Contingent,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...","Gini nih, harusnya 9 + 4, jadi 13, dong. Kan kuadrat semua.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini dengan baik. Namun, ada sedikit kesalahan dalam perhitunganmu. Kamu menuliskan $9 + 4$, padahal yang benar adalah $x^2 - y^2$. Coba ingat kembali konsep operasi pengurangan setelah mengkuadratkan angka. Yuk, coba hitung lagi dengan teliti!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini dengan baik. Namun, ada sedikit kesalahan dalam perhitunganmu. Kamu menuliskan $9 + 4$, padahal yang benar adalah $x^2 - y^2$. Coba ingat kembali konsep operasi pengurangan setelah mengkuadratkan angka. Yuk, coba hitung lagi dengan teliti!'}"
33,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,–x + 5y,Bukannya jadi 5x – y ya? Itu kan cuma dikurang-kurang biasa aja.,Low,High,Verification + Delayed Correct Response + Response Contingent,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,Bukannya jadi 5x – y ya? Itu kan cuma dikurang-kurang biasa aja.,Verification + Delayed Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam menyederhanakan ekspresi tersebut. Kamu sudah benar bahwa kita perlu mengurangkan, tetapi mari kita lihat langkah-langkahnya satu per satu. Pertama, kita harus mendistribusikan angka di luar kurung ke dalam kurung. Jadi, coba perhatikan kembali bagaimana kita mendistribusikan $2(x + y)$ dan $-3(x - y)$. Setelah itu, kita bisa menggabungkan suku-suku yang sejenis. Coba cek lagi langkah-langkahnya, dan kalau butuh bantuan lebih lanjut, aku siap membantu!""
}
```","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam menyederhanakan ekspresi tersebut. Kamu sudah benar bahwa kita perlu mengurangkan, tetapi mari kita lihat langkah-langkahnya satu per satu. Pertama, kita harus mendistribusikan angka di luar kurung ke dalam kurung. Jadi, coba perhatikan kembali bagaimana kita mendistribusikan $2(x + y)$ dan $-3(x - y)$. Setelah itu, kita bisa menggabungkan suku-suku yang sejenis. Coba cek lagi langkah-langkahnya, dan kalau butuh bantuan lebih lanjut, aku siap membantu!'}"
34,Hasil dari 3a(2a – 1) adalah....,6a^2 – 3a,"Gini nih, harusnya 6a - 3 aja, kan?",High,High,Try again + Delayed Topic Contingent,Hasil dari 3a(2a – 1) adalah....,"Gini nih, harusnya 6a - 3 aja, kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Sepertinya ada sedikit kesalahan dalam mengalikan ekspresi di dalam kurung. Kamu sudah benar memulai dengan mengalikan $3a$ dengan setiap suku di dalam kurung $(2a - 1)$. Coba periksa kembali langkah-langkahnya, terutama saat mengalikan $3a$ dengan $2a$. Ingat, saat mengalikan dua suku yang memiliki variabel yang sama, kamu juga harus mengalikan koefisien dan menjumlahkan pangkat variabelnya. Yuk, coba lagi dan lihat apakah hasilnya berbeda!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Sepertinya ada sedikit kesalahan dalam mengalikan ekspresi di dalam kurung. Kamu sudah benar memulai dengan mengalikan $3a$ dengan setiap suku di dalam kurung $(2a - 1)$. Coba periksa kembali langkah-langkahnya, terutama saat mengalikan $3a$ dengan $2a$. Ingat, saat mengalikan dua suku yang memiliki variabel yang sama, kamu juga harus mengalikan koefisien dan menjumlahkan pangkat variabelnya. Yuk, coba lagi dan lihat apakah hasilnya berbeda!'}"
35,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....",-9,"Kayaknya hasilnya 9 deh, soalnya 4 kali 0 kan 0, terus 3 kuadrat 9.",Low,Low,Correct Response + Response Contingent,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....","Kayaknya hasilnya 9 deh, soalnya 4 kali 0 kan 0, terus 3 kuadrat 9.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah benar dalam menghitung $4 \\times 0 = 0$. Namun, ada sedikit kesalahan dalam menghitung $y^2$. Ingat, $y = 3$, jadi $y^2$ berarti $3^2$. Coba hitung lagi $3^2$ dan lihat apakah hasilnya masih 9. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah benar dalam menghitung $4 \\times 0 = 0$. Namun, ada sedikit kesalahan dalam menghitung $y^2$. Ingat, $y = 3$, jadi $y^2$ berarti $3^2$. Coba hitung lagi $3^2$ dan lihat apakah hasilnya masih 9. Semangat!'}"
36,Hasil dari –(3x – 2) + (x + 5) adalah....,–2x + 7,"Waduh, ini kan cuma ditambahin aja, jadi -3x + x = -2x. Terus 2 + 5 = 7. Jadi -2x + 7. Eh, salah ya? Jadi -4x + 3 deh!",Low,Low,Correct Response + Response Contingent,Hasil dari –(3x – 2) + (x + 5) adalah....,"Waduh, ini kan cuma ditambahin aja, jadi -3x + x = -2x. Terus 2 + 5 = 7. Jadi -2x + 7. Eh, salah ya? Jadi -4x + 3 deh!",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Mari kita lihat langkah-langkahnya bersama. Pertama, kita harus mengingat bahwa tanda negatif di depan kurung berarti kita harus mendistribusikan tanda negatif ke setiap elemen di dalam kurung. Jadi, untuk $-(3x - 2)$, hasilnya adalah $-3x + 2$. Kemudian, kita tambahkan dengan $(x + 5)$. Langkah berikutnya adalah menggabungkan suku-suku yang sejenis. Kamu sudah benar dalam menggabungkan $-3x$ dan $x$, tetapi coba periksa kembali hasil penjumlahannya. Untuk konstanta, kamu juga perlu menjumlahkan $2$ dan $5$. Coba periksa kembali langkah-langkah ini, dan kamu pasti bisa menemukan jawabannya! Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Mari kita lihat langkah-langkahnya bersama. Pertama, kita harus mengingat bahwa tanda negatif di depan kurung berarti kita harus mendistribusikan tanda negatif ke setiap elemen di dalam kurung. Jadi, untuk $-(3x - 2)$, hasilnya adalah $-3x + 2$. Kemudian, kita tambahkan dengan $(x + 5)$. Langkah berikutnya adalah menggabungkan suku-suku yang sejenis. Kamu sudah benar dalam menggabungkan $-3x$ dan $x$, tetapi coba periksa kembali hasil penjumlahannya. Untuk konstanta, kamu juga perlu menjumlahkan $2$ dan $5$. Coba periksa kembali langkah-langkah ini, dan kamu pasti bisa menemukan jawabannya! Semangat!'}"
37,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",-4,Kayanya 2 deh.,High,High,Try again + Delayed Topic Content,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",Kayanya 2 deh.,Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita coba lagi. Kamu sudah tahu bahwa $a = 1$ dan $b = -3$. Coba substitusi nilai-nilai ini ke dalam ekspresi $ab - 2a + b$. Ingat, urutan operasi matematika penting, jadi pastikan kamu mengalikan dulu sebelum menambahkan atau mengurangkan. Setelah kamu coba lagi, kita bisa diskusikan lebih lanjut jika masih ada yang bingung. Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita coba lagi. Kamu sudah tahu bahwa $a = 1$ dan $b = -3$. Coba substitusi nilai-nilai ini ke dalam ekspresi $ab - 2a + b$. Ingat, urutan operasi matematika penting, jadi pastikan kamu mengalikan dulu sebelum menambahkan atau mengurangkan. Setelah kamu coba lagi, kita bisa diskusikan lebih lanjut jika masih ada yang bingung. Semangat!'}"
38,Hasil dari (2x + 3)(x – 1) adalah....,2x^2 + x – 3,"Ah, gampang nih, hasilnya 2x^2 – 3.",High,High,Try again + Delayed Topic Content,Hasil dari (2x + 3)(x – 1) adalah....,"Ah, gampang nih, hasilnya 2x^2 – 3.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hey, coba perhatikan lagi langkah-langkahnya. Kamu sudah mulai dengan baik, tapi ada sedikit kesalahan dalam mengalikan dua suku. Ingat, ketika mengalikan $(2x + 3)(x - 1)$, kamu perlu mengalikan setiap suku di dalam kurung pertama dengan setiap suku di dalam kurung kedua. Coba pikirkan lagi bagaimana cara mengalikan $2x$ dengan $x$ dan $-1$, serta $3$ dengan $x$ dan $-1$. Setelah itu, gabungkan semua hasilnya. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hey, coba perhatikan lagi langkah-langkahnya. Kamu sudah mulai dengan baik, tapi ada sedikit kesalahan dalam mengalikan dua suku. Ingat, ketika mengalikan $(2x + 3)(x - 1)$, kamu perlu mengalikan setiap suku di dalam kurung pertama dengan setiap suku di dalam kurung kedua. Coba pikirkan lagi bagaimana cara mengalikan $2x$ dengan $x$ dan $-1$, serta $3$ dengan $x$ dan $-1$. Setelah itu, gabungkan semua hasilnya. Kamu pasti bisa!'}"
39,Nilai dari 2(x – 1) + 3(x + 4) adalah....,5x + 8,"Yah, jawabannya 5x + 10, kan? *pikirku*",High,High,Try again + Delayed Topic Contingent,Nilai dari 2(x – 1) + 3(x + 4) adalah....,"Yah, jawabannya 5x + 10, kan? *pikirku*",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam langkahmu. Kamu sudah benar memulai dengan mendistribusikan angka ke dalam kurung, tetapi coba periksa kembali langkah-langkah distribusi dan penjumlahan yang kamu lakukan. Ingat, ketika mendistribusikan, pastikan setiap bagian dalam kurung dikalikan dengan angka di luar kurung. Setelah itu, coba gabungkan suku-suku yang sejenis. Kamu pasti bisa! Jika masih bingung, kita bisa diskusikan lebih lanjut tentang cara mendistribusikan dan menyederhanakan ekspresi aljabar.""
}","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam langkahmu. Kamu sudah benar memulai dengan mendistribusikan angka ke dalam kurung, tetapi coba periksa kembali langkah-langkah distribusi dan penjumlahan yang kamu lakukan. Ingat, ketika mendistribusikan, pastikan setiap bagian dalam kurung dikalikan dengan angka di luar kurung. Setelah itu, coba gabungkan suku-suku yang sejenis. Kamu pasti bisa! Jika masih bingung, kita bisa diskusikan lebih lanjut tentang cara mendistribusikan dan menyederhanakan ekspresi aljabar.'}"
40,Sederhanakan: 5m – (2m – 4),3m + 4,"Duh, ini mah gampang. Jawabannya 3m - 4 kan?",High,Low,Correct Response + Topic Contingent,Sederhanakan: 5m – (2m – 4),"Duh, ini mah gampang. Jawabannya 3m - 4 kan?",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam menyederhanakan ekspresi tersebut. Kamu menulis jawabannya sebagai $3m - 4$, tetapi mari kita lihat lagi langkah-langkahnya. Ketika kita punya ekspresi $5m - (2m - 4)$, kita perlu memperhatikan tanda negatif di depan kurung. Coba ingat kembali bagaimana cara mendistribusikan tanda negatif ke dalam kurung. Kamu pasti bisa menyelesaikannya dengan benar!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam menyederhanakan ekspresi tersebut. Kamu menulis jawabannya sebagai $3m - 4$, tetapi mari kita lihat lagi langkah-langkahnya. Ketika kita punya ekspresi $5m - (2m - 4)$, kita perlu memperhatikan tanda negatif di depan kurung. Coba ingat kembali bagaimana cara mendistribusikan tanda negatif ke dalam kurung. Kamu pasti bisa menyelesaikannya dengan benar!'}"
