,No,Soal_x,Jawaban,Jawaban_Salah,SPK,SAL,Final_Feedback_Type,Soal_y,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
28,29,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....",1,"Hmm, kalau gak salah, jawabannya 3 deh.",Low,High,Correct Response + Response Contingent,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....","Hmm, kalau gak salah, jawabannya 3 deh.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam perhitungan akhir. Kamu sudah benar bahwa $a = 2$ dan $b = -1$. Mari kita cek langkah-langkahnya bersama-sama: \n\n1. Hitung $a^2$: $2^2 = 4$.\n2. Hitung $ab$: $2 \times (-1) = -2$.\n3. Hitung $-b^2$: $-(-1)^2 = -1$.\n\nSekarang, gabungkan semuanya: $4 + (-2) - 1$. Coba hitung lagi hasil akhirnya. Kamu pasti bisa! 😊""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam perhitungan akhir. Kamu sudah benar bahwa $a = 2$ dan $b = -1$. Mari kita cek langkah-langkahnya bersama-sama: \n\n1. Hitung $a^2$: $2^2 = 4$.\n2. Hitung $ab$: $2 \times (-1) = -2$.\n3. Hitung $-b^2$: $-(-1)^2 = -1$.\n\nSekarang, gabungkan semuanya: $4 + (-2) - 1$. Coba hitung lagi hasil akhirnya. Kamu pasti bisa! 😊'}"
29,30,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,-5,"Aduh, ribet amat! Kan (2(3) + 1)(3 – 4) = (7)(-1). Jadi, hasilnya 7.",High,Low,Correct Response + Topic Contingent,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,"Aduh, ribet amat! Kan (2(3) + 1)(3 – 4) = (7)(-1). Jadi, hasilnya 7.",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah hampir benar dalam menyelesaikan soal ini. Kamu sudah benar dalam menghitung bagian pertama, yaitu $(2(3) + 1) = 7$. Namun, sepertinya ada kesalahan kecil saat menghitung bagian kedua. Ingat, $(3 - 4) = -1$, jadi ketika kamu mengalikan $7$ dengan $-1$, hasilnya seharusnya adalah $-7$, bukan $7$. Coba periksa kembali langkah-langkahmu, dan kamu pasti bisa menemukan jawabannya! Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah hampir benar dalam menyelesaikan soal ini. Kamu sudah benar dalam menghitung bagian pertama, yaitu $(2(3) + 1) = 7$. Namun, sepertinya ada kesalahan kecil saat menghitung bagian kedua. Ingat, $(3 - 4) = -1$, jadi ketika kamu mengalikan $7$ dengan $-1$, hasilnya seharusnya adalah $-7$, bukan $7$. Coba periksa kembali langkah-langkahmu, dan kamu pasti bisa menemukan jawabannya! Semangat!'}"
30,31,Sederhanakan: (5x + 2) – (2x – 3),3x + 5,"Aduh, susah. Jadi 3x - 1, ya kan?",Low,Low,Correct Response + Response Contingent,Sederhanakan: (5x + 2) – (2x – 3),"Aduh, susah. Jadi 3x - 1, ya kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan baik. Mari kita coba lihat langkah-langkahnya bersama. Ketika kita punya ekspresi $(5x + 2) - (2x - 3)$, kita perlu mengingat untuk mendistribusikan tanda negatif ke dalam kurung kedua. Jadi, kita ubah menjadi $5x + 2 - 2x + 3$. Sekarang, coba kelompokkan suku-suku sejenisnya: $5x - 2x$ dan $2 + 3$. Coba hitung lagi, dan lihat apakah hasilnya sama dengan yang kamu dapatkan. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan baik. Mari kita coba lihat langkah-langkahnya bersama. Ketika kita punya ekspresi $(5x + 2) - (2x - 3)$, kita perlu mengingat untuk mendistribusikan tanda negatif ke dalam kurung kedua. Jadi, kita ubah menjadi $5x + 2 - 2x + 3$. Sekarang, coba kelompokkan suku-suku sejenisnya: $5x - 2x$ dan $2 + 3$. Coba hitung lagi, dan lihat apakah hasilnya sama dengan yang kamu dapatkan. Kamu pasti bisa!'}"
31,32,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...",5,"Gini nih, harusnya 9 + 4, jadi 13, dong. Kan kuadrat semua.",Low,Low,Correct Response + Response Contingent,"Jika x = 3 dan y = 2, maka nilai dari x^2 – y^2 adalah...","Gini nih, harusnya 9 + 4, jadi 13, dong. Kan kuadrat semua.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar bahwa kita harus mengkuadratkan $x$ dan $y$, tetapi ingat bahwa $x^2 - y^2$ berarti kita mengurangi hasil kuadrat $y$ dari hasil kuadrat $x$. Jadi, coba hitung lagi dengan cara ini: $x^2 = 3^2$ dan $y^2 = 2^2$, kemudian kurangkan hasilnya. Kamu pasti bisa! 😊""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar bahwa kita harus mengkuadratkan $x$ dan $y$, tetapi ingat bahwa $x^2 - y^2$ berarti kita mengurangi hasil kuadrat $y$ dari hasil kuadrat $x$. Jadi, coba hitung lagi dengan cara ini: $x^2 = 3^2$ dan $y^2 = 2^2$, kemudian kurangkan hasilnya. Kamu pasti bisa! 😊'}"
32,33,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,–x + 5y,Bukannya jadi 5x – y ya? Itu kan cuma dikurang-kurang biasa aja.,Low,High,Verification + Delayed Correct Response + Response Contingent,Bentuk sederhana dari 2(x + y) – 3(x – y) adalah....,Bukannya jadi 5x – y ya? Itu kan cuma dikurang-kurang biasa aja.,Verification + Delayed Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam penyederhanaan yang kamu lakukan. Kamu menyebutkan bahwa hasilnya adalah $5x - y$, tetapi mari kita cek lagi langkah-langkahnya. Ketika kita menyederhanakan $2(x + y) - 3(x - y)$, kita perlu memperhatikan tanda negatif dan mendistribusikan setiap koefisien dengan benar. Coba periksa kembali bagaimana kamu mendistribusikan $-3$ ke dalam $(x - y)$. Setelah itu, coba gabungkan suku-suku yang sejenis. Jika kamu masih bingung, yuk kita diskusikan lebih lanjut langkah-langkahnya!""
}","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam penyederhanaan yang kamu lakukan. Kamu menyebutkan bahwa hasilnya adalah $5x - y$, tetapi mari kita cek lagi langkah-langkahnya. Ketika kita menyederhanakan $2(x + y) - 3(x - y)$, kita perlu memperhatikan tanda negatif dan mendistribusikan setiap koefisien dengan benar. Coba periksa kembali bagaimana kamu mendistribusikan $-3$ ke dalam $(x - y)$. Setelah itu, coba gabungkan suku-suku yang sejenis. Jika kamu masih bingung, yuk kita diskusikan lebih lanjut langkah-langkahnya!'}"
33,34,Hasil dari 3a(2a – 1) adalah....,6a^2 – 3a,"Gini nih, harusnya 6a - 3 aja, kan?",High,High,Try again + Delayed Topic Contingent,Hasil dari 3a(2a – 1) adalah....,"Gini nih, harusnya 6a - 3 aja, kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam jawabanmu. Kamu menulis $6a - 3$, tapi coba perhatikan lagi langkah-langkahnya. Ingat, ketika kita mengalikan $3a$ dengan $(2a - 1)$, kita harus mengalikan setiap bagian dalam kurung dengan $3a$. Coba pikirkan kembali bagaimana cara mendistribusikan $3a$ ke dalam kurung tersebut. Setelah itu, jika kamu masih bingung, kita bisa diskusi lebih lanjut tentang bagaimana cara membagi bentuk aljabar dengan faktor-faktor tertentu. Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam jawabanmu. Kamu menulis $6a - 3$, tapi coba perhatikan lagi langkah-langkahnya. Ingat, ketika kita mengalikan $3a$ dengan $(2a - 1)$, kita harus mengalikan setiap bagian dalam kurung dengan $3a$. Coba pikirkan kembali bagaimana cara mendistribusikan $3a$ ke dalam kurung tersebut. Setelah itu, jika kamu masih bingung, kita bisa diskusi lebih lanjut tentang bagaimana cara membagi bentuk aljabar dengan faktor-faktor tertentu. Semangat!'}"
34,35,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....",-9,"Kayaknya hasilnya 9 deh, soalnya 4 kali 0 kan 0, terus 3 kuadrat 9.",Low,Low,Correct Response + Response Contingent,"Jika x = 0, y = 3, maka nilai dari 4x – y^2 adalah....","Kayaknya hasilnya 9 deh, soalnya 4 kali 0 kan 0, terus 3 kuadrat 9.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah benar bahwa $4 \\times 0 = 0$, tetapi ada sedikit kesalahan saat menghitung $y^2$. Kamu sudah benar bahwa $3^2 = 9$, tetapi ingat bahwa kita harus mengurangkan $y^2$ dari $4x$. Jadi, coba pikirkan kembali operasi $4x - y^2$ dengan nilai yang sudah kamu hitung. Kamu sudah hampir sampai, tetap semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah benar bahwa $4 \\times 0 = 0$, tetapi ada sedikit kesalahan saat menghitung $y^2$. Kamu sudah benar bahwa $3^2 = 9$, tetapi ingat bahwa kita harus mengurangkan $y^2$ dari $4x$. Jadi, coba pikirkan kembali operasi $4x - y^2$ dengan nilai yang sudah kamu hitung. Kamu sudah hampir sampai, tetap semangat!'}"
35,36,Hasil dari –(3x – 2) + (x + 5) adalah....,–2x + 7,"Waduh, ini kan cuma ditambahin aja, jadi -3x + x = -2x. Terus 2 + 5 = 7. Jadi -2x + 7. Eh, salah ya? Jadi -4x + 3 deh!",Low,Low,Correct Response + Response Contingent,Hasil dari –(3x – 2) + (x + 5) adalah....,"Waduh, ini kan cuma ditambahin aja, jadi -3x + x = -2x. Terus 2 + 5 = 7. Jadi -2x + 7. Eh, salah ya? Jadi -4x + 3 deh!",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam langkah-langkahmu. Mari kita lihat bersama-sama. Ketika kamu punya ekspresi $-(3x - 2) + (x + 5)$, pertama-tama kita harus mendistribusikan tanda negatif ke dalam kurung pertama. Jadi, $-(3x - 2)$ menjadi $-3x + 2$. Kemudian, kita tambahkan dengan $(x + 5)$. Sekarang, mari kita gabungkan suku-suku sejenis: $-3x + x$ dan $2 + 5$. Coba perhatikan lagi langkah ini, dan lihat apakah kamu bisa menemukan jawabannya. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam langkah-langkahmu. Mari kita lihat bersama-sama. Ketika kamu punya ekspresi $-(3x - 2) + (x + 5)$, pertama-tama kita harus mendistribusikan tanda negatif ke dalam kurung pertama. Jadi, $-(3x - 2)$ menjadi $-3x + 2$. Kemudian, kita tambahkan dengan $(x + 5)$. Sekarang, mari kita gabungkan suku-suku sejenis: $-3x + x$ dan $2 + 5$. Coba perhatikan lagi langkah ini, dan lihat apakah kamu bisa menemukan jawabannya. Kamu pasti bisa!'}"
36,37,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",-4,Kayanya 2 deh.,High,High,Try again + Delayed Topic Content,"Jika a = 1 dan b = –3, maka nilai dari ab – 2a + b adalah....",Kayanya 2 deh.,Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Sepertinya ada sedikit kesalahan dalam perhitunganmu. Coba kita cek lagi langkah-langkahnya. Kamu sudah tahu bahwa $a = 1$ dan $b = -3$. Sekarang, coba substitusi nilai-nilai tersebut ke dalam ekspresi $ab - 2a + b$. Ingat, urutan operasi matematika penting di sini. Setelah itu, coba bandingkan dengan soal serupa yang pernah kamu kerjakan, seperti soal nomor 29. Kamu pasti bisa menemukan jawabannya dengan benar!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Sepertinya ada sedikit kesalahan dalam perhitunganmu. Coba kita cek lagi langkah-langkahnya. Kamu sudah tahu bahwa $a = 1$ dan $b = -3$. Sekarang, coba substitusi nilai-nilai tersebut ke dalam ekspresi $ab - 2a + b$. Ingat, urutan operasi matematika penting di sini. Setelah itu, coba bandingkan dengan soal serupa yang pernah kamu kerjakan, seperti soal nomor 29. Kamu pasti bisa menemukan jawabannya dengan benar!'}"
37,38,Hasil dari (2x + 3)(x – 1) adalah....,2x^2 + x – 3,"Ah, gampang nih, hasilnya 2x^2 – 3.",High,High,Try again + Delayed Topic Content,Hasil dari (2x + 3)(x – 1) adalah....,"Ah, gampang nih, hasilnya 2x^2 – 3.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Sepertinya ada sedikit kesalahan dalam jawabanmu. Kamu sudah benar memulai dengan mengalikan dua suku pertama, tetapi ada langkah yang terlewat. Coba ingat kembali cara mengalikan dua bentuk aljabar: $(a + b)(c + d) = ac + ad + bc + bd$. Terapkan konsep ini pada $(2x + 3)(x - 1)$. Jangan lupa untuk mengalikan setiap suku dengan benar. Kamu pasti bisa! Jika masih bingung, coba lihat kembali contoh-contoh soal serupa yang pernah kita bahas sebelumnya.""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Sepertinya ada sedikit kesalahan dalam jawabanmu. Kamu sudah benar memulai dengan mengalikan dua suku pertama, tetapi ada langkah yang terlewat. Coba ingat kembali cara mengalikan dua bentuk aljabar: $(a + b)(c + d) = ac + ad + bc + bd$. Terapkan konsep ini pada $(2x + 3)(x - 1)$. Jangan lupa untuk mengalikan setiap suku dengan benar. Kamu pasti bisa! Jika masih bingung, coba lihat kembali contoh-contoh soal serupa yang pernah kita bahas sebelumnya.'}"
38,39,Nilai dari 2(x – 1) + 3(x + 4) adalah....,5x + 8,"Yah, jawabannya 5x + 10, kan? *pikirku*",High,High,Try again + Delayed Topic Contingent,Nilai dari 2(x – 1) + 3(x + 4) adalah....,"Yah, jawabannya 5x + 10, kan? *pikirku*",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam perhitunganmu. Coba perhatikan kembali langkah-langkah distribusi pada ekspresi $2(x - 1) + 3(x + 4)$. Ingat, kita harus mengalikan setiap bagian dalam tanda kurung dengan angka di depannya. Setelah itu, gabungkan suku-suku yang sejenis. Kamu pasti bisa! Setelah mencoba lagi, kamu bisa melihat soal nomor 2 untuk latihan lebih lanjut tentang distribusi dan penggabungan suku-suku sejenis. Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam perhitunganmu. Coba perhatikan kembali langkah-langkah distribusi pada ekspresi $2(x - 1) + 3(x + 4)$. Ingat, kita harus mengalikan setiap bagian dalam tanda kurung dengan angka di depannya. Setelah itu, gabungkan suku-suku yang sejenis. Kamu pasti bisa! Setelah mencoba lagi, kamu bisa melihat soal nomor 2 untuk latihan lebih lanjut tentang distribusi dan penggabungan suku-suku sejenis. Semangat!'}"
39,40,Sederhanakan: 5m – (2m – 4),3m + 4,"Duh, ini mah gampang. Jawabannya 3m - 4 kan?",High,Low,Correct Response + Topic Contingent,Sederhanakan: 5m – (2m – 4),"Duh, ini mah gampang. Jawabannya 3m - 4 kan?",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Jawaban kamu sudah benar, yaitu $3m - 4$. Kamu sudah memahami cara menyederhanakan ekspresi aljabar dengan baik. Ingat, saat menyederhanakan, kita harus memperhatikan tanda di depan kurung. Dalam soal ini, tanda negatif di depan kurung berarti kita harus mengubah tanda di dalam kurung saat membukanya. Terus berlatih agar semakin mahir, ya!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Jawaban kamu sudah benar, yaitu $3m - 4$. Kamu sudah memahami cara menyederhanakan ekspresi aljabar dengan baik. Ingat, saat menyederhanakan, kita harus memperhatikan tanda di depan kurung. Dalam soal ini, tanda negatif di depan kurung berarti kita harus mengubah tanda di dalam kurung saat membukanya. Terus berlatih agar semakin mahir, ya!'}"
40,41,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....",3(p + q),"Ah, gampang! 3p + q, kan?",High,High,Try again + Delayed Topic Contingent,"Bentuk aljabar dari ""tiga kali jumlah p dan q"" adalah....","Ah, gampang! 3p + q, kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Sepertinya ada sedikit kesalahan dalam memahami soal. Kamu menulis $3p + q$, padahal yang diminta adalah 'tiga kali jumlah p dan q'. Coba pikirkan kembali bagaimana cara menuliskan 'jumlah p dan q' terlebih dahulu, lalu kalikan hasilnya dengan tiga. Ingat, urutan operasi sangat penting di sini! Kamu pasti bisa, coba lagi ya!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': ""Sepertinya ada sedikit kesalahan dalam memahami soal. Kamu menulis $3p + q$, padahal yang diminta adalah 'tiga kali jumlah p dan q'. Coba pikirkan kembali bagaimana cara menuliskan 'jumlah p dan q' terlebih dahulu, lalu kalikan hasilnya dengan tiga. Ingat, urutan operasi sangat penting di sini! Kamu pasti bisa, coba lagi ya!""}"
41,42,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,2,"Gini nih, gampang! Jawabannya 4, kan?",Low,Low,Correct Response + Response Contingent,Nilai dari (2x^2 – 3x + 1) saat x = 1 adalah....,"Gini nih, gampang! Jawabannya 4, kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Wah, kamu sudah berusaha dengan baik! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Mari kita coba cek lagi langkah-langkahnya. Untuk mencari nilai dari $2x^2 - 3x + 1$ saat $x = 1$, kita perlu mengganti $x$ dengan $1$ di dalam persamaan tersebut. Coba hitung ulang dengan hati-hati, dan lihat apakah hasilnya sama dengan yang kamu dapatkan sebelumnya. Jika ada yang bingung, jangan ragu untuk bertanya, ya!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Wah, kamu sudah berusaha dengan baik! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Mari kita coba cek lagi langkah-langkahnya. Untuk mencari nilai dari $2x^2 - 3x + 1$ saat $x = 1$, kita perlu mengganti $x$ dengan $1$ di dalam persamaan tersebut. Coba hitung ulang dengan hati-hati, dan lihat apakah hasilnya sama dengan yang kamu dapatkan sebelumnya. Jika ada yang bingung, jangan ragu untuk bertanya, ya!'}"
42,43,"Jika a = –3, maka nilai dari a^2 – 4a adalah....",21,"Kayaknya hasilnya 9, deh. Aku kaliin aja 3 sama 3, terus kurangin 4 kali 3, jadi 9 dikurang 12.",High,High,Try again + Delayed Topic Content,"Jika a = –3, maka nilai dari a^2 – 4a adalah....","Kayaknya hasilnya 9, deh. Aku kaliin aja 3 sama 3, terus kurangin 4 kali 3, jadi 9 dikurang 12.",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar dalam menghitung $a^2$ menjadi $9$ karena $(-3)^2 = 9$. Namun, untuk bagian $-4a$, kamu perlu memperhatikan tanda negatif di depan angka 3. Coba hitung ulang bagian ini dengan hati-hati. Ingat, jika $a = -3$, maka $-4a$ akan menjadi $-4 \times (-3)$. Yuk, coba lagi dan lihat apakah hasilnya berbeda! Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu sudah benar dalam menghitung $a^2$ menjadi $9$ karena $(-3)^2 = 9$. Namun, untuk bagian $-4a$, kamu perlu memperhatikan tanda negatif di depan angka 3. Coba hitung ulang bagian ini dengan hati-hati. Ingat, jika $a = -3$, maka $-4a$ akan menjadi $-4 \times (-3)$. Yuk, coba lagi dan lihat apakah hasilnya berbeda! Semangat!'}"
43,44,"Jika x = 2, y = –1, maka nilai dari 3x – 4y adalah....",10,"Duh, 3(2) kan 6, terus 4(-1) jadi -4, jadi 6-4=2! Harusnya 2, kan?",Low,Low,Correct Response + Response Contingent,"Jika x = 2, y = –1, maka nilai dari 3x – 4y adalah....","Duh, 3(2) kan 6, terus 4(-1) jadi -4, jadi 6-4=2! Harusnya 2, kan?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan langkah yang benar dengan menghitung $3(2)$ menjadi $6$ dan $4(-1)$ menjadi $-4$. Namun, saat menghitung $6 - (-4)$, ingat bahwa mengurangi bilangan negatif sama dengan menambah bilangan positif. Jadi, $6 - (-4)$ sebenarnya adalah $6 + 4$. Coba pikirkan lagi, dan lihat apakah kamu bisa menemukan jawabannya!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan langkah yang benar dengan menghitung $3(2)$ menjadi $6$ dan $4(-1)$ menjadi $-4$. Namun, saat menghitung $6 - (-4)$, ingat bahwa mengurangi bilangan negatif sama dengan menambah bilangan positif. Jadi, $6 - (-4)$ sebenarnya adalah $6 + 4$. Coba pikirkan lagi, dan lihat apakah kamu bisa menemukan jawabannya!'}"
44,45,Hasil dari (x – 3)(x + 3) adalah....,x^2 - 9,Kayaknya hasilnya x^2 + 9 deh.,High,Low,Correct Response + Topic Contingent,Hasil dari (x – 3)(x + 3) adalah....,Kayaknya hasilnya x^2 + 9 deh.,Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, ada sedikit kesalahan dalam jawabanmu. Ketika kita mengalikan $(x - 3)(x + 3)$, kita menggunakan konsep 'difference of squares' atau selisih kuadrat. Rumusnya adalah $(a - b)(a + b) = a^2 - b^2$. Dalam kasus ini, $a = x$ dan $b = 3$. Coba pikirkan kembali bagaimana rumus ini bekerja dan terapkan pada soal ini. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': ""Hai! Sepertinya kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, ada sedikit kesalahan dalam jawabanmu. Ketika kita mengalikan $(x - 3)(x + 3)$, kita menggunakan konsep 'difference of squares' atau selisih kuadrat. Rumusnya adalah $(a - b)(a + b) = a^2 - b^2$. Dalam kasus ini, $a = x$ dan $b = 3$. Coba pikirkan kembali bagaimana rumus ini bekerja dan terapkan pada soal ini. Kamu pasti bisa!""}"
45,46,Sederhanakan: 4p + 3q – 2p – q,2p + 2q,"Ah, gampang nih! Jawabannya 6p + 4q kan?",High,High,Try again + Delayed Topic Contingent,Sederhanakan: 4p + 3q – 2p – q,"Ah, gampang nih! Jawabannya 6p + 4q kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya ada sedikit kesalahan dalam pengurangan koefisien pada jawabanmu. Kamu sudah tahu bahwa kita perlu menggabungkan suku-suku yang sejenis. Coba perhatikan lagi suku-suku dengan variabel yang sama: $4p$ dan $-2p$, serta $3q$ dan $-q$. Ingat, kita harus mengurangi koefisiennya dengan benar. Coba hitung ulang dan lihat apakah kamu mendapatkan hasil yang berbeda. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hai! Sepertinya ada sedikit kesalahan dalam pengurangan koefisien pada jawabanmu. Kamu sudah tahu bahwa kita perlu menggabungkan suku-suku yang sejenis. Coba perhatikan lagi suku-suku dengan variabel yang sama: $4p$ dan $-2p$, serta $3q$ dan $-q$. Ingat, kita harus mengurangi koefisiennya dengan benar. Coba hitung ulang dan lihat apakah kamu mendapatkan hasil yang berbeda. Kamu pasti bisa!'}"
46,47,Hasil pengurangan (6y + 4) – (2y + 7) adalah....,4y – 3,"Hmm, gampang! Kayaknya 8y + 11 deh?",Low,Low,Correct Response + Response Contingent,Hasil pengurangan (6y + 4) – (2y + 7) adalah....,"Hmm, gampang! Kayaknya 8y + 11 deh?",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Mari kita lihat bersama. Saat mengurangkan $(6y + 4) - (2y + 7)$, kita perlu mengurangkan setiap suku satu per satu. Coba perhatikan tanda negatif di depan kurung kedua, itu berarti kita harus mengurangkan setiap suku di dalamnya. Jadi, $6y - 2y$ dan $4 - 7$. Coba hitung lagi dengan cara ini dan lihat apakah hasilnya berbeda. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Mari kita lihat bersama. Saat mengurangkan $(6y + 4) - (2y + 7)$, kita perlu mengurangkan setiap suku satu per satu. Coba perhatikan tanda negatif di depan kurung kedua, itu berarti kita harus mengurangkan setiap suku di dalamnya. Jadi, $6y - 2y$ dan $4 - 7$. Coba hitung lagi dengan cara ini dan lihat apakah hasilnya berbeda. Kamu pasti bisa!'}"
